Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,412.04,36,0,0.0,317.35,78,0,0.0,356.43,42,0,0.0,336.88
August,1,0:30,5,0,0.0,364.95,26,0,0.0,332.35,61,0,0.0,336.9,32,0,0.0,331.69
August,1,1:00,4,0,0.0,310.26,14,0,0.0,358.84,45,0,0.0,330.71,23,0,0.0,344.73
August,1,1:30,3,0,0.0,249.94,9,0,0.0,300.49,33,0,0.0,322.71,17,0,0.0,321.38
August,1,2:00,2,0,0.0,256.39,6,0,0.0,318.9,24,0,0.0,322.88,12,0,0.0,331.76
August,1,2:30,2,0,0.0,272.62,5,0,0.0,342.14,20,0,0.0,340.62,9,0,0.0,340.98
August,1,3:00,2,0,0.0,213.83,5,0,0.0,377.41,16,0,0.0,361.74,3,0,0.0,345.38
August,1,3:30,2,0,0.0,200.35,4,0,0.0,372.01,16,0,0.0,368.3,1,0,0.0,294.08
August,1,4:00,2,0,0.0,237.85,4,0,0.0,303.41,16,0,0.0,330.05,0,0,0.0,325.21
August,1,4:30,2,0,0.0,257.57,4,0,1e-05,247.5,17,0,0.0,324.56,0,0,0.0,332.35
August,1,5:00,2,0,0.000192,259.42,4,0,0.001838,261.19,20,0,7e-06,318.99,1,0,0.000258,321.8
August,1,5:30,2,0,0.024538,245.59,5,0,0.053876,287.12,24,0,0.000952,311.07,3,0,0.00827,276.73
August,1,6:00,3,1,0.44506,245.88,7,3,0.412774,301.72,39,0,0.012595,287.63,13,1,0.04246,259.5
August,1,6:30,5,5,1.0,293.46,13,7,0.546543,319.64,62,1,0.02228,273.63,26,2,0.057331,267.66
August,1,7:00,11,6,0.592629,311.9,37,3,0.092419,286.68,107,1,0.011145,272.38,47,1,0.015051,274.09
August,1,7:30,21,3,0.161069,312.52,62,3,0.046942,282.53,179,2,0.011721,273.94,81,1,0.009572,285.36
August,1,8:00,51,1,0.013595,302.83,114,2,0.016706,293.23,305,1,0.003544,289.09,138,1,0.009352,286.64
August,1,8:30,91,0,0.000324,310.23,168,3,0.020687,313.14,453,0,0.001099,307.47,200,2,0.008078,291.32
August,1,9:00,134,0,2e-06,320.6,240,4,0.018576,331.12,641,2,0.003588,314.6,279,3,0.009744,301.89
August,1,9:30,173,0,9.5e-05,328.49,303,4,0.012175,337.93,800,6,0.007573,318.64,344,5,0.014646,310.78
August,1,10:00,200,0,0.001763,335.92,366,3,0.009085,343.75,922,10,0.010901,329.39,404,6,0.015536,313.24
August,1,10:30,231,1,0.004238,338.36,415,7,0.017215,344.81,1021,16,0.015483,338.17,444,8,0.018732,324.1
August,1,11:00,246,0,0.001605,338.45,460,13,0.027871,349.23,1088,12,0.011313,344.9,480,7,0.015518,329.26
August,1,11:30,257,1,0.00367,336.45,506,19,0.037334,357.35,1126,15,0.013294,346.55,505,6,0.012451,328.03
August,1,12:00,264,3,0.009821,334.77,547,15,0.027688,360.06,1138,22,0.019155,346.55,518,6,0.010895,328.06
August,1,12:30,264,1,0.004845,343.4,561,16,0.028546,362.13,1142,20,0.017696,350.0,528,5,0.009061,336.38
August,1,13:00,265,1,0.003857,349.55,576,16,0.027428,354.68,1139,12,0.010867,356.86,533,5,0.008871,339.58
August,1,13:30,267,0,0.001418,346.9,590,17,0.029315,352.77,1136,12,0.010283,357.48,542,7,0.012409,337.51
August,1,14:00,270,1,0.002283,345.0,609,21,0.034727,359.1,1144,13,0.011015,357.65,555,9,0.016756,334.62
August,1,14:30,277,3,0.009243,344.69,619,21,0.03437,360.7,1143,14,0.012059,357.3,553,10,0.018956,337.45
August,1,15:00,274,5,0.018179,340.68,617,12,0.019157,362.82,1138,17,0.015269,356.57,549,8,0.01439,341.05
August,1,15:30,274,6,0.022255,345.4,609,10,0.016308,361.96,1130,20,0.017538,357.35,547,7,0.013633,339.44
August,1,16:00,268,2,0.007095,348.7,607,10,0.016759,367.38,1112,11,0.009634,358.42,559,5,0.009098,339.8
August,1,16:30,253,0,0.000345,350.32,594,10,0.016557,364.35,1069,7,0.006105,357.72,539,4,0.00795,338.14
August,1,17:00,223,0,3e-06,347.48,568,10,0.016774,359.41,1007,7,0.006932,358.32,500,3,0.006418,342.15
August,1,17:30,198,0,8.3e-05,343.77,538,11,0.021213,361.14,928,7,0.007453,359.85,460,2,0.00505,335.38
August,1,18:00,171,0,0.002057,347.8,476,13,0.027193,364.26,811,6,0.006921,362.12,411,2,0.004042,332.57
August,1,18:30,145,1,0.006743,363.47,426,9,0.02138,357.72,730,5,0.006486,361.34,368,3,0.007903,334.85
August,1,19:00,100,0,0.003523,365.05,387,11,0.029412,353.68,649,5,0.007934,355.04,334,5,0.014647,336.04
August,1,19:30,74,0,0.000223,351.62,343,8,0.024586,345.76,573,5,0.008276,356.16,297,5,0.016598,336.25
August,1,20:00,57,0,2e-06,344.26,294,6,0.021212,350.06,482,6,0.011453,353.15,253,4,0.014369,330.34
August,1,20:30,45,0,0.0,335.21,260,5,0.017827,352.85,410,2,0.005115,348.0,221,4,0.019047,323.56
August,1,21:00,34,0,1e-05,338.02,219,3,0.014439,345.15,343,0,0.000621,349.04,185,8,0.044717,332.03
August,1,21:30,26,0,0.0021,327.37,180,4,0.019905,336.4,281,0,2.4e-05,346.83,157,6,0.041021,338.85
August,1,22:00,22,1,0.054499,333.44,142,1,0.008236,334.71,228,0,0.0,344.67,126,2,0.015422,329.03
