Portfolio,dow,slot,abd_share_profile
A,0,0,0.0
A,0,1,0.0
A,0,2,0.0
A,0,3,0.0
A,0,4,0.0
A,0,5,0.0
A,0,6,0.0
A,0,7,0.0
A,0,8,0.0
A,0,9,0.0
A,0,10,0.0
A,0,11,0.0
A,0,12,0.0
A,0,13,0.0
A,0,14,0.0
A,0,15,1.8347927279193007e-06
A,0,16,0.0003072012945501333
A,0,17,0.007366460661289116
A,0,18,0.03766042602214842
A,0,19,0.0613581146765662
A,0,20,0.020096875920793223
A,0,21,0.0009347128853298895
A,0,22,0.0009683158072522259
A,0,23,0.020559781095173396
A,0,24,0.057541739029261255
A,0,25,0.03146429568514408
A,0,26,0.03122984339232042
A,0,27,0.011880637814194297
A,0,28,0.02181247098948098
A,0,29,0.07412195538995031
A,0,30,0.09315344237523178
A,0,31,0.0970162220664181
A,0,32,0.030159475940951648
A,0,33,0.011315963426195761
A,0,34,0.027628650962964137
A,0,35,0.00995571283573799
A,0,36,0.0004662291865893104
A,0,37,2.8366861254015506e-06
A,0,38,2.4562547809242256e-06
A,0,39,0.0004106248093530803
A,0,40,0.00975824779715922
A,0,41,0.048210447250266214
A,0,42,0.07603201284796621
A,0,43,0.02655199449906801
A,0,44,0.04073079351572935
A,0,45,0.10984427194244427
A,0,46,0.03959062982999857
A,0,47,0.001865322316838079
A,1,0,0.0
A,1,1,0.0
A,1,2,0.0
A,1,3,0.0
A,1,4,0.0
A,1,5,0.0
A,1,6,0.0
A,1,7,0.0
A,1,8,0.0
A,1,9,0.0
A,1,10,0.0
A,1,11,0.0
A,1,12,0.0
A,1,13,0.0
A,1,14,6.113010519608667e-06
A,1,15,0.001009351547621981
A,1,16,0.022219895832600083
A,1,17,0.07638519200990106
A,1,18,0.07928759740614948
A,1,19,0.05250440899622578
A,1,20,0.01406012390891208
A,1,21,0.013299256045109672
A,1,22,0.035646745070103236
A,1,23,0.02244543880522981
A,1,24,0.04605161283300614
A,1,25,0.06747219470865058
A,1,26,0.021572584081540617
A,1,27,0.0009935414956764761
A,1,28,6.029840308457529e-06
A,1,29,0.0
A,1,30,0.0
A,1,31,0.0
A,1,32,0.0
A,1,33,0.0
A,1,34,0.0
A,1,35,0.0
A,1,36,0.0
A,1,37,6.029840308457529e-06
A,1,38,0.000997722055600722
A,1,39,0.022263408772735378
A,1,40,0.08275226945865796
A,1,41,0.09921990505705272
A,1,42,0.060657744264245805
A,1,43,0.01614625811413594
A,1,44,0.04352327503129192
A,1,45,0.12981488682687914
A,1,46,0.07669633532251381
A,1,47,0.014962079665023074
A,2,0,0.0
A,2,1,0.0
A,2,2,0.0
A,2,3,0.0
A,2,4,0.0
A,2,5,0.0
A,2,6,0.0
A,2,7,0.0
A,2,8,0.0
A,2,9,0.0
A,2,10,0.0
A,2,11,0.0
A,2,12,2.794812566214386e-06
A,2,13,0.0004625024080800039
A,2,14,0.010342418765799324
A,2,15,0.04076995601620456
A,2,16,0.09491194952015297
A,2,17,0.19243830422817898
A,2,18,0.1705502670544917
A,2,19,0.11480586605049457
A,2,20,0.05681678168950705
A,2,21,0.01223921843969759
A,2,22,0.0016777342673417659
A,2,23,0.025143387687937765
A,2,24,0.08123580267691598
A,2,25,0.06115434148253048
A,2,26,0.014352456967522013
A,2,27,0.0006253387279083296
A,2,28,6.557060251502984e-06
A,2,29,0.0004593469745375038
A,2,30,0.009808752223160988
A,2,31,0.027212685258295094
A,2,32,0.009808752223160988
A,2,33,0.0004593469745375038
A,2,34,2.794812566214386e-06
A,2,35,0.0
A,2,36,0.0
A,2,37,0.0
A,2,38,0.0
A,2,39,2.794812566214386e-06
A,2,40,0.0004593469745375038
A,2,41,0.009808752223160988
A,2,42,0.027214262975066343
A,2,43,0.01006806099910958
A,2,44,0.005996545810192901
A,2,45,0.015364794555152154
A,2,46,0.005537198835655397
A,2,47,0.00026088649271984094
A,3,0,0.0
A,3,1,0.0
A,3,2,0.0
A,3,3,0.0
A,3,4,0.0
A,3,5,0.0
A,3,6,0.0
A,3,7,0.0
A,3,8,0.0
A,3,9,0.0
A,3,10,8.185225845095223e-06
A,3,11,0.001352147152534855
A,3,12,0.029856986353627987
A,3,13,0.10444885065920542
A,3,14,0.11070482617210785
A,3,15,0.06852778750436136
A,3,16,0.03172275518885314
A,3,17,0.043158018791714846
A,3,18,0.015783860840388464
A,3,19,0.011633308013739163
A,3,20,0.04226852746038189
A,3,21,0.0484612352859447
A,3,22,0.014246128944640994
A,3,23,0.0006475493987875025
A,3,24,3.922087384108127e-06
A,3,25,0.0
A,3,26,0.0
A,3,27,4.9323220133481e-06
A,3,28,0.0008195938785332607
A,3,29,0.018783111709173957
A,3,30,0.08009952028821815
A,3,31,0.11976873125298582
A,3,32,0.07512425185422654
A,3,33,0.017316841037334253
A,3,34,0.008381392233961208
A,3,35,0.021220410640901122
A,3,36,0.007647259667460652
A,3,37,0.00035812359327991094
A,3,38,5.291705200780807e-06
A,3,39,0.0005116051332570156
A,3,40,0.01092465666780093
A,3,41,0.030308568989419995
A,3,42,0.010929014542672161
A,3,43,0.0012278523198168375
A,3,44,0.015297632102686469
A,3,45,0.042431996585188
A,3,46,0.015294519334921304
A,3,47,0.0007206050614310531
A,4,0,0.0
A,4,1,0.0
A,4,2,0.0
A,4,3,0.0
A,4,4,0.0
A,4,5,0.0
A,4,6,0.0
A,4,7,0.0
A,4,8,0.0
A,4,9,0.0
A,4,10,6.847966100607289e-06
A,4,11,0.001134443209786547
A,4,12,0.025505294959049723
A,4,13,0.09858886164989045
A,4,14,0.12302157301786995
A,4,15,0.06581279003421744
A,4,16,0.013491812419376472
A,4,17,0.0005716876697414956
A,4,18,5.3743531422487586e-06
A,4,19,0.00032055695319021914
A,4,20,0.006845073335728608
A,4,21,0.018995607139224983
A,4,22,0.007689206645796185
A,4,23,0.018347867107367497
A,4,24,0.050330748056859255
A,4,25,0.02487043311981394
A,4,26,0.019837686059462376
A,4,27,0.007361825270920066
A,4,28,0.011990178082859907
A,4,29,0.04972052121445869
A,4,30,0.09687417617219896
A,4,31,0.11854832123728005
A,4,32,0.03689793446298351
A,4,33,0.0016934025947106099
A,4,34,1.2222319242856047e-05
A,4,35,0.00032055695319021914
A,4,36,0.006845073335728608
A,4,37,0.01899047116464953
A,4,38,0.006845073335728608
A,4,39,0.00032055695319021914
A,4,40,1.950370091945114e-06
A,4,41,0.0
A,4,42,6.4199682193193335e-06
A,4,43,0.001058590620634775
A,4,44,0.023094455270151717
A,4,45,0.07452720743969492
