Date,Portfolio,Call Volume,CCT,Abandon Rate,daily_abandoned_calls
2025-08-01,A,5011.0,328.23,0.0172,86.1892
2025-08-02,A,3409.0,316.72,0.0141,48.0669
2025-08-03,A,1477.0,331.61,0.0128,18.9056
2025-08-04,A,5076.0,307.45,0.0165,83.754
2025-08-05,A,4888.0,289.73,0.0199,97.27120000000001
2025-08-06,A,4058.0,328.12,0.0053,21.5074
2025-08-07,A,4321.0,337.62,0.0129,55.7409
2025-08-08,A,4521.0,326.62,0.0119,53.7999
2025-08-09,A,2820.0,330.37,0.013,36.66
2025-08-10,A,1280.0,334.28,0.0091,11.648
2025-08-11,A,4869.0,321.88,0.0247,120.2643
2025-08-12,A,4011.0,303.61,0.0328,131.5608
2025-08-13,A,3999.0,333.68,0.0073,29.1927
2025-08-14,A,4137.0,326.3,0.0075,31.0275
2025-08-15,A,3831.0,327.6,0.018,68.958
2025-08-16,A,3048.0,329.31,0.0098,29.8704
2025-08-17,A,1425.0,337.33,0.0054,7.695
2025-08-18,A,4298.0,302.24,0.0107,45.9886
2025-08-19,A,4205.0,294.89,0.0136,57.187999999999995
2025-08-20,A,4260.0,333.37,0.0099,42.17400000000001
2025-08-21,A,3838.0,325.67,0.0099,37.9962
2025-08-22,A,3739.0,335.24,0.014,52.346000000000004
2025-08-23,A,2800.0,327.01,0.0147,41.16
2025-08-24,A,1151.0,320.22,0.015,17.265
2025-08-25,A,4468.0,298.78,0.0256,114.38080000000001
2025-08-26,A,3898.0,303.13,0.0305,118.889
2025-08-27,A,3905.0,327.68,0.0139,54.2795
2025-08-28,A,3916.0,335.57,0.0209,81.8444
2025-08-29,A,3870.0,327.7,0.0089,34.443
2025-08-30,A,2750.0,318.39,0.0222,61.050000000000004
2025-08-31,A,1334.0,305.91,0.0144,19.2096
2025-08-01,B,12237.0,362.1,0.0169,206.8053
2025-08-02,B,8542.0,351.69,0.0148,126.42160000000001
2025-08-03,B,5669.0,348.61,0.0344,195.0136
2025-08-04,B,12359.0,321.84,0.0278,343.5802
2025-08-05,B,11172.0,316.47,0.0117,130.7124
2025-08-06,B,10126.0,354.61,0.0236,238.9736
2025-08-07,B,9715.0,347.4,0.0087,84.5205
2025-08-08,B,10058.0,348.7,0.0076,76.4408
2025-08-09,B,6669.0,347.13,0.0085,56.6865
2025-08-10,B,4412.0,346.89,0.0241,106.3292
2025-08-11,B,10926.0,329.89,0.068,742.9680000000001
2025-08-12,B,9408.0,329.92,0.038,357.504
2025-08-13,B,9002.0,349.39,0.008,72.016
2025-08-14,B,8774.0,348.82,0.0142,124.5908
2025-08-15,B,8793.0,342.93,0.0242,212.79059999999998
2025-08-16,B,6247.0,341.85,0.0162,101.20139999999999
2025-08-17,B,4432.0,346.82,0.0287,127.19839999999999
2025-08-18,B,10515.0,330.83,0.0544,572.016
2025-08-19,B,9578.0,313.05,0.0067,64.1726
2025-08-20,B,10023.0,343.81,0.023,230.529
2025-08-21,B,9013.0,340.77,0.0229,206.39770000000001
2025-08-22,B,8687.0,344.72,0.0261,226.7307
2025-08-23,B,6701.0,347.87,0.0404,270.7204
2025-08-24,B,4217.0,337.21,0.0178,75.0626
2025-08-25,B,10409.0,320.24,0.0439,456.9551
2025-08-26,B,8604.0,313.16,0.0127,109.2708
2025-08-27,B,8812.0,345.73,0.0165,145.398
2025-08-28,B,8436.0,340.9,0.0216,182.2176
2025-08-29,B,8670.0,331.26,0.0074,64.158
2025-08-30,B,5883.0,332.82,0.0082,48.2406
2025-08-31,B,3483.0,320.95,0.0205,71.4015
2025-08-01,C,24079.0,348.75,0.0323,777.7517
2025-08-02,C,15110.0,346.33,0.0122,184.342
2025-08-03,C,10195.0,342.93,0.0193,196.76350000000002
2025-08-04,C,25576.0,340.48,0.0254,649.6304
2025-08-05,C,23063.0,320.13,0.0108,249.08040000000003
2025-08-06,C,21743.0,352.18,0.0199,432.6857
2025-08-07,C,21010.0,351.17,0.0082,172.282
2025-08-08,C,20436.0,349.81,0.0108,220.70880000000002
2025-08-09,C,13525.0,353.09,0.0095,128.48749999999998
2025-08-10,C,9443.0,348.95,0.0162,152.9766
2025-08-11,C,23530.0,342.65,0.0191,449.423
2025-08-12,C,21717.0,332.36,0.0586,1272.6162
2025-08-13,C,21155.0,345.17,0.0037,78.2735
2025-08-14,C,20803.0,341.14,0.0093,193.4679
2025-08-15,C,20713.0,342.12,0.0257,532.3241
2025-08-16,C,13880.0,328.12,0.0206,285.928
2025-08-17,C,9523.0,330.17,0.0304,289.4992
2025-08-18,C,23655.0,315.45,0.055,1301.025
2025-08-19,C,21096.0,300.49,0.0192,405.04319999999996
2025-08-20,C,21115.0,337.23,0.0209,441.3035
2025-08-21,C,19848.0,333.92,0.0154,305.6592
2025-08-22,C,19456.0,329.8,0.0165,321.024
2025-08-23,C,13027.0,336.58,0.021,273.567
2025-08-24,C,8744.0,346.5,0.0104,90.93759999999999
2025-08-25,C,22728.0,339.23,0.0122,277.2816
2025-08-26,C,20256.0,307.96,0.0035,70.896
2025-08-27,C,20720.0,350.22,0.011,227.92
2025-08-28,C,20304.0,344.55,0.0097,196.9488
2025-08-29,C,19866.0,345.76,0.0032,63.571200000000005
2025-08-30,C,12734.0,336.81,0.0144,183.3696
2025-08-31,C,8334.0,334.78,0.0213,177.5142
2025-08-01,D,11518.0,326.6,0.0382,439.9876
2025-08-02,D,7689.0,336.76,0.0181,139.17090000000002
2025-08-03,D,5115.0,329.76,0.0176,90.024
2025-08-04,D,13113.0,311.48,0.0432,566.4816000000001
2025-08-05,D,11874.0,307.34,0.0116,137.73839999999998
2025-08-06,D,11304.0,331.41,0.0199,224.9496
2025-08-07,D,10627.0,325.83,0.007,74.389
2025-08-08,D,10666.0,334.42,0.0106,113.0596
2025-08-09,D,7192.0,338.07,0.0098,70.4816
2025-08-10,D,4529.0,348.01,0.0198,89.67420000000001
2025-08-11,D,12157.0,325.71,0.0399,485.0643
2025-08-12,D,11071.0,319.27,0.0395,437.3045
2025-08-13,D,10385.0,335.54,0.006,62.31
2025-08-14,D,10195.0,333.48,0.0071,72.3845
2025-08-15,D,10404.0,341.51,0.0147,152.9388
2025-08-16,D,6845.0,340.38,0.0101,69.1345
2025-08-17,D,4818.0,344.6,0.0212,102.1416
2025-08-18,D,11935.0,310.76,0.0497,593.1695
2025-08-19,D,10765.0,311.41,0.0074,79.661
2025-08-20,D,10690.0,340.62,0.0132,141.108
2025-08-21,D,10475.0,342.35,0.0073,76.4675
2025-08-22,D,9967.0,352.4,0.0135,134.5545
2025-08-23,D,6927.0,354.18,0.0104,72.04079999999999
2025-08-24,D,4317.0,361.11,0.011,47.486999999999995
2025-08-25,D,11698.0,325.39,0.033,386.034
2025-08-26,D,10141.0,305.78,0.0072,73.0152
2025-08-27,D,10098.0,341.54,0.0069,69.6762
2025-08-28,D,10461.0,344.42,0.0114,119.25540000000001
2025-08-29,D,10131.0,351.9,0.0015,15.1965
2025-08-30,D,6570.0,351.84,0.0108,70.956
2025-08-31,D,4023.0,356.88,0.0222,89.31060000000001
