Portfolio,dow,slot,cct_profile
A,0,0,344.0516798705395
A,0,1,330.8344610812396
A,0,2,351.8671871839912
A,0,3,340.90312534801615
A,0,4,379.524642933951
A,0,5,312.7261211078562
A,0,6,244.86187883019286
A,0,7,177.46386300447813
A,0,8,177.8236779541571
A,0,9,173.6355505869536
A,0,10,239.98862485046584
A,0,11,276.0635825961075
A,0,12,295.42235903405077
A,0,13,256.96700745276104
A,0,14,242.7015137151679
A,0,15,283.7288819579144
A,0,16,293.9472217034583
A,0,17,303.8218274510277
A,0,18,304.1036249025818
A,0,19,312.18942132023085
A,0,20,317.2527081183731
A,0,21,314.20880472619945
A,0,22,319.434948663695
A,0,23,323.5024209403736
A,0,24,318.3255624384698
A,0,25,309.18688533052904
A,0,26,311.860622031092
A,0,27,321.6222602162493
A,0,28,322.7077603491059
A,0,29,324.33524585272147
A,0,30,324.05095357052846
A,0,31,326.97480723012285
A,0,32,326.6328679552903
A,0,33,323.0725601372527
A,0,34,325.3080180875148
A,0,35,319.9858216069263
A,0,36,318.1199584659439
A,0,37,327.12886724426784
A,0,38,327.21200228339706
A,0,39,326.0820869894893
A,0,40,323.4416570794307
A,0,41,327.7762930443796
A,0,42,323.7484866232974
A,0,43,310.4865800598583
A,0,44,312.6851989991384
A,0,45,321.1997533720879
A,0,46,314.76576684589827
A,0,47,317.495360733637
A,1,0,336.2121566018309
A,1,1,315.8679173307704
A,1,2,333.4209078111005
A,1,3,319.1610869111846
A,1,4,407.9836184311443
A,1,5,350.60167522086533
A,1,6,260.8650064570935
A,1,7,198.59791555477153
A,1,8,232.91722826382892
A,1,9,291.6794299063819
A,1,10,281.4752694164196
A,1,11,231.712794994347
A,1,12,233.00013000998794
A,1,13,218.8864508786788
A,1,14,250.59061593656477
A,1,15,293.74825369932375
A,1,16,285.8180280885557
A,1,17,298.5045864681236
A,1,18,314.4067984371727
A,1,19,317.06582640645826
A,1,20,317.24220522741274
A,1,21,317.83766078875186
A,1,22,321.16701342034287
A,1,23,322.01168071348906
A,1,24,321.9350142532839
A,1,25,317.72646686926214
A,1,26,321.49763208463423
A,1,27,326.70002677606635
A,1,28,325.73158563087406
A,1,29,329.5261102575829
A,1,30,332.39549638697883
A,1,31,327.3896527835126
A,1,32,330.12425586999154
A,1,33,330.40708555173603
A,1,34,326.9919467853811
A,1,35,323.9126437185775
A,1,36,324.4038321533661
A,1,37,328.60893527245753
A,1,38,337.3634087194515
A,1,39,330.5712103757328
A,1,40,331.2875285699401
A,1,41,334.1125978069292
A,1,42,325.93497180806713
A,1,43,306.407280267326
A,1,44,293.4400862020763
A,1,45,290.54487783617896
A,1,46,311.4084999869516
A,1,47,307.09442689761704
A,2,0,288.8945516688234
A,2,1,327.49709172932637
A,2,2,251.5092508750665
A,2,3,256.8163989242536
A,2,4,280.1215947474002
A,2,5,322.3955451663518
A,2,6,375.2855726042968
A,2,7,323.8775632173065
A,2,8,263.79425605117234
A,2,9,281.1921811717182
A,2,10,348.35763071542004
A,2,11,279.95889576184845
A,2,12,256.3991553904636
A,2,13,267.56133492023866
A,2,14,288.6245578260104
A,2,15,303.11677206065826
A,2,16,294.74315077870114
A,2,17,318.2676826714185
A,2,18,317.76840085729117
A,2,19,318.8234542965046
A,2,20,316.5296465181218
A,2,21,316.20329795016517
A,2,22,316.55312929699414
A,2,23,315.14751787058617
A,2,24,325.0059486439574
A,2,25,323.5014559417148
A,2,26,321.867130902116
A,2,27,320.40368901332664
A,2,28,321.2264158064482
A,2,29,325.20682118000235
A,2,30,324.0134687390861
A,2,31,328.04174604745214
A,2,32,332.7401166069809
A,2,33,330.4920721034826
A,2,34,327.64153301971277
A,2,35,320.123478814259
A,2,36,321.47835849241636
A,2,37,339.30372025945076
A,2,38,338.66057915540154
A,2,39,325.731377729706
A,2,40,308.5847467181563
A,2,41,302.0716462675877
A,2,42,304.42849189840956
A,2,43,302.7847888363965
A,2,44,299.35842674487606
A,2,45,294.7397309172693
A,2,46,303.86863823934397
A,2,47,277.3919848523105
A,3,0,334.8174729654436
A,3,1,341.2443888012144
A,3,2,289.5724561932658
A,3,3,272.54139219874025
A,3,4,277.8682294684739
A,3,5,298.06625743821223
A,3,6,425.7223260568016
A,3,7,261.06416222409734
A,3,8,209.77859198782562
A,3,9,224.1746893880666
A,3,10,231.02014748070036
