Portfolio,dow,slot,profile_share
A,0,0,0.0006411137230711235
A,0,1,0.00045532226649526415
A,0,2,0.00033854294688732565
A,0,3,0.00026082521233111754
A,0,4,0.00026861664605619547
A,0,5,0.00013331070161634682
A,0,6,6.082869666656701e-05
A,0,7,0.00013721469943484398
A,0,8,0.0001609375540236832
A,0,9,0.00014629084847239492
A,0,10,0.0001888955464149432
A,0,11,0.0002406527407320992
A,0,12,0.00038896405432372423
A,0,13,0.0007750872425423343
A,0,14,0.0015960085375404565
A,0,15,0.003519356643776367
A,0,16,0.008476603556995768
A,0,17,0.015967281586137142
A,0,18,0.02473759898745592
A,0,19,0.033160513438166374
A,0,20,0.040058167417738245
A,0,21,0.045073189254670395
A,0,22,0.0470932355889081
A,0,23,0.04860141706015294
A,0,24,0.0491183176562366
A,0,25,0.04947253521930671
A,0,26,0.04905339672568776
A,0,27,0.04901128731675276
A,0,28,0.04970372838060082
A,0,29,0.05032905277243877
A,0,30,0.050914752908196206
A,0,31,0.05196975810632307
A,0,32,0.05018962237085257
A,0,33,0.048121538672359375
A,0,34,0.044496166513602095
A,0,35,0.03980324747844255
A,0,36,0.034066784818456174
A,0,37,0.028237907534928386
A,0,38,0.02103646961435996
A,0,39,0.015930905054987694
A,0,40,0.011926182239845796
A,0,41,0.00894158444960622
A,0,42,0.007318363882222855
A,0,43,0.0057487968720234105
A,0,44,0.004390811921233437
A,0,45,0.0032128451109413475
A,0,46,0.002579118730616742
A,0,47,0.0019468506993690232
A,1,0,0.0009902681479231946
A,1,1,0.0009009436431953049
A,1,2,0.000692821814705578
A,1,3,0.0004916524789206219
A,1,4,0.0003639573985299373
A,1,5,0.00024368508199587496
A,1,6,0.0002092289484529767
A,1,7,0.00021987182111330247
A,1,8,0.00022145836298708663
A,1,9,0.0002445490160409053
A,1,10,0.0003680649877677379
A,1,11,0.0004840830430747515
A,1,12,0.0005760481932826116
A,1,13,0.0010130587817843762
A,1,14,0.0019437804842519749
A,1,15,0.004306995003820867
A,1,16,0.009837014246392979
A,1,17,0.016826250026071878
A,1,18,0.024989485513277482
A,1,19,0.0326116515455663
A,1,20,0.038510726646451235
A,1,21,0.043001315553845024
A,1,22,0.04602139107826327
A,1,23,0.048485364402677325
A,1,24,0.04920326908000135
A,1,25,0.049425867565598684
A,1,26,0.04971296888884627
A,1,27,0.04982125919662689
A,1,28,0.0510450952630139
A,1,29,0.05155961150365561
A,1,30,0.051141258235250175
A,1,31,0.050798215761638725
A,1,32,0.05166022741748656
A,1,33,0.049108890011791306
A,1,34,0.04340821719274503
A,1,35,0.03757091133008726
A,1,36,0.03335758640956945
A,1,37,0.027905010571996326
A,1,38,0.020488108376480112
A,1,39,0.014873154132082985
A,1,40,0.011507997016304922
A,1,41,0.009829907460954908
A,1,42,0.007441705469836122
A,1,43,0.005482551441512242
A,1,44,0.004236636049645925
A,1,45,0.0028836329004233805
A,1,46,0.002196719362047364
A,1,47,0.0017875331420119552
A,2,0,0.0008851715510450736
A,2,1,0.00056898723040108
A,2,2,0.0004427380047963032
A,2,3,0.00038899287368374016
A,2,4,0.0003168985191741191
A,2,5,0.00038627158090904286
A,2,6,0.0003768858330530914
A,2,7,0.00026062361112048573
A,2,8,0.00021996240085765364
A,2,9,0.00021973478843200268
A,2,10,0.00026478738224412616
A,2,11,0.00038835275620034763
A,2,12,0.0005251631214951315
A,2,13,0.0009408418313901156
A,2,14,0.0018964168270974703
A,2,15,0.004715990490139108
A,2,16,0.010833639474929317
A,2,17,0.018678025166368392
A,2,18,0.026897026235324396
A,2,19,0.03381840668701228
A,2,20,0.039958808015531026
A,2,21,0.04423953046548618
A,2,22,0.047519712372289885
A,2,23,0.0494678781505169
A,2,24,0.049172612094253845
A,2,25,0.049200526979520876
A,2,26,0.05023117421277187
A,2,27,0.04963680558381665
A,2,28,0.04974571212018684
A,2,29,0.05009236884663798
A,2,30,0.050033679070994756
A,2,31,0.049885741252790494
A,2,32,0.04884737912045614
A,2,33,0.04612760163909069
A,2,34,0.04221173515526766
A,2,35,0.038081876336297935
A,2,36,0.033746824617187
A,2,37,0.027997095038314587
A,2,38,0.019710045690741536
A,2,39,0.01444859210145856
A,2,40,0.011333727201372297
A,2,41,0.009411991757432379
A,2,42,0.007740719920457485
A,2,43,0.005940707620261514
A,2,44,0.00423203271397561
A,2,45,0.003142096416224532
A,2,46,0.002634197784005676
A,2,47,0.002183911356985823
A,3,0,0.0011089810069990088
A,3,1,0.0006537272961380613
A,3,2,0.0005185314430401701
A,3,3,0.00039556594187740784
A,3,4,0.000223356859326375
A,3,5,0.00010333920246501186
A,3,6,0.00018728771195422622
A,3,7,0.000227515382647923
A,3,8,0.00017763146670239505
A,3,9,9.691953142310651e-05
A,3,10,0.0002300757444385271
A,3,11,0.000455980595644146
A,3,12,0.0007384649288521855
A,3,13,0.001291144135915411
A,3,14,0.002175296336402994
A,3,15,0.004636919661788317
A,3,16,0.010660305109099507
A,3,17,0.018327754734520085
A,3,18,0.025505202952320852
A,3,19,0.03198599165027779
A,3,20,0.03840213533862777
A,3,21,0.043931491419065945
A,3,22,0.047232348457205135
A,3,23,0.04908546817499551
A,3,24,0.04998184442370528
A,3,25,0.04995692782573801
A,3,26,0.04898777109716036
A,3,27,0.049441709061952124
A,3,28,0.05056748762102921
A,3,29,0.050518611489295345
A,3,30,0.05091432508743876
A,3,31,0.05011139758719407
A,3,32,0.04980568702484106
A,3,33,0.048395135481299506
A,3,34,0.04347866438428839
A,3,35,0.037776909275712256
A,3,36,0.032906341059752785
A,3,37,0.027570363482843672
A,3,38,0.020249562165359003
A,3,39,0.014826712420383546
A,3,40,0.011664582632297586
A,3,41,0.009508590264001446
A,3,42,0.0073473057283621815
A,3,43,0.005469119076638031
A,3,44,0.004268121300915402
A,3,45,0.0032569922056202615
A,3,46,0.0025494243418374475
A,3,47,0.002094979880606515
A,4,0,0.001159362609212381
A,4,1,0.0009124845910418455
A,4,2,0.0006482833518477837
A,4,3,0.0006097066110630194
A,4,4,0.0004495976484982246
A,4,5,0.00023360766749506572
A,4,6,0.000103150915268644
A,4,7,0.00018879809044817952
A,4,8,0.00023733997675215505
A,4,9,0.00023365286062806859
A,4,10,0.00026975432846574064
A,4,11,0.0003917120959802006
A,4,12,0.0005250220370068445
A,4,13,0.000977207969030531
A,4,14,0.0021379668254826447
A,4,15,0.004436227252230807
A,4,16,0.009943966353062727
A,4,17,0.017625379419476575
A,4,18,0.025501611438825726
A,4,19,0.03229325849328839
A,4,20,0.03735337156401536
A,4,21,0.042961660231282325
A,4,22,0.04619906067610733
A,4,23,0.04877286389716384
A,4,24,0.050407401680990505
A,4,25,0.05037864330683649
A,4,26,0.05072010186374442
A,4,27,0.05142007221331105
A,4,28,0.05164761019449691
A,4,29,0.05324072527379621
A,4,30,0.05263163061557703
A,4,31,0.05272989611997636
A,4,32,0.05104131740040657
A,4,33,0.04753756025091281
A,4,34,0.04219319201589955
A,4,35,0.037430241376794765
A,4,36,0.033149875254899604
A,4,37,0.027232301811020147
A,4,38,0.01961029562079652
A,4,39,0.013950893909262584
A,4,40,0.010600917525697492
A,4,41,0.008297739708870135
A,4,42,0.006146185345824088
A,4,43,0.004650808099130687
A,4,44,0.003933834873980274
A,4,45,0.0029754635330171146
A,4,46,0.002161239227203189
A,4,47,0.0017470058738811628
A,5,0,0.0019062326710183632
A,5,1,0.0014584393760001394
A,5,2,0.001000963979356303
A,5,3,0.0005074756849334248
A,5,4,0.00035276807947186235
A,5,5,0.00035207999349858666
A,5,6,0.00033154195744910777
A,5,7,0.0003109440547052847
A,5,8,0.0003217675359716273
A,5,9,0.0003309479085865619
A,5,10,0.00032198276217442677
A,5,11,0.00032683185983260526
A,5,12,0.0004301496210338188
A,5,13,0.0008608927362851205
A,5,14,0.0018256114516029553
A,5,15,0.004137349870496631
A,5,16,0.00912807101469117
A,5,17,0.015207577515379654
A,5,18,0.021589172126393424
A,5,19,0.027116238787645103
A,5,20,0.03371855635144707
A,5,21,0.041168719075655426
A,5,22,0.04607484432327902
