Portfolio,Date,Call Volume,CCT,Service Level,Abandon Rate
A,2024-01-01,2147.0,302.45,0.9855,0.0037
A,2024-01-02,7458.0,349.22,0.5213,0.1136
A,2024-01-03,6882.0,331.07,0.7046,0.0432
A,2024-01-04,6208.0,341.8,0.72,0.0403
A,2024-01-05,6190.0,334.56,0.8063,0.0291
A,2024-01-06,3529.0,323.18,0.9673,0.0034
A,2024-01-07,1611.0,269.32,0.9707,0.0056
A,2024-01-08,6688.0,343.75,0.8036,0.0173
A,2024-01-09,5126.0,334.94,0.9122,0.009
A,2024-01-10,5793.0,340.56,0.8879,0.0097
A,2024-01-11,5408.0,324.22,0.9274,0.0089
A,2024-01-12,4902.0,333.5,0.963,0.0065
A,2024-01-13,3337.0,316.16,0.9426,0.0087
A,2024-01-14,1370.0,274.25,0.9713,0.0066
A,2024-01-15,4046.0,326.06,0.966,0.0044
A,2024-01-16,4893.0,339.49,0.9666,0.0039
A,2024-01-17,5538.0,327.6,0.9021,0.0081
A,2024-01-18,5059.0,325.83,0.8213,0.019
A,2024-01-19,5267.0,330.49,0.8563,0.014
A,2024-01-20,3569.0,320.37,,0.0073
A,2024-01-21,1327.0,295.66,,0.0098
A,2024-01-22,5740.0,333.27,,0.0094
A,2024-01-23,5443.0,333.75,,0.0064
A,2024-01-24,5136.0,327.31,,0.0101
A,2024-01-25,5276.0,321.68,,0.0127
A,2024-01-26,4982.0,322.34,0.8678,0.0145
A,2024-01-27,3440.0,299.77,0.9711,0.0035
A,2024-01-28,1462.0,270.0,0.8916,0.0089
A,2024-01-29,5399.0,321.72,0.9643,0.0043
A,2024-01-30,5202.0,310.12,0.9212,0.0052
A,2024-01-31,5687.0,315.97,0.8209,0.0213
A,2024-02-01,6089.0,279.87,0.957,0.0055
A,2024-02-02,5955.0,314.45,0.8893,0.0131
A,2024-02-03,3884.0,327.51,0.851,0.0233
A,2024-02-04,1483.0,324.53,0.943,0.0092
A,2024-02-05,6622.0,297.62,0.9697,0.0096
A,2024-02-06,5655.0,341.61,0.9326,0.0078
A,2024-02-07,5199.0,327.75,0.8957,0.0107
A,2024-02-08,5131.0,317.4,0.9512,0.0057
A,2024-02-09,4687.0,308.97,0.9946,0.002
A,2024-02-10,3300.0,329.39,0.9888,0.0027
A,2024-02-11,1237.0,305.5,0.9305,0.0064
A,2024-02-12,4941.0,287.65,0.9558,0.0073
A,2024-02-13,4997.0,331.31,0.9367,0.0063
A,2024-02-14,4746.0,326.21,0.9534,0.0072
A,2024-02-15,4684.0,331.78,0.9121,0.008
A,2024-02-16,4776.0,319.01,0.9097,0.014
A,2024-02-17,3337.0,328.52,0.9317,0.0089
A,2024-02-18,1348.0,303.38,0.8697,0.0178
A,2024-02-19,4745.0,292.52,0.9645,0.0043
A,2024-02-20,4913.0,317.84,0.9898,0.001
A,2024-02-21,4793.0,328.07,0.9312,0.0077
A,2024-02-22,4556.0,337.22,0.8779,0.0136
A,2024-02-23,4813.0,327.4,0.9085,0.0095
A,2024-02-24,3054.0,323.73,0.9076,0.0068
A,2024-02-25,1399.0,298.79,0.844,0.0218
A,2024-02-26,4897.0,282.1,0.9497,0.0055
A,2024-02-27,4512.0,326.8,0.9358,0.0054
A,2024-02-28,4523.0,310.92,0.984,0.0011
A,2024-02-29,4972.0,318.99,0.951,0.0054
A,2024-03-01,5476.0,324.84,0.9311,0.0087
A,2024-03-02,3825.0,330.3,0.8888,0.0112
A,2024-03-03,1387.0,317.56,0.7931,0.0274
A,2024-03-04,5347.0,307.42,0.8496,0.0205
A,2024-03-05,5043.0,308.7,0.8427,0.0165
A,2024-03-06,4653.0,275.76,0.94,0.0115
A,2024-03-07,4489.0,325.52,0.739,0.0331
A,2024-03-08,4496.0,321.56,0.9302,0.0071
A,2024-03-09,2961.0,313.31,0.9521,0.004
A,2024-03-10,1211.0,307.87,0.951,0.006
A,2024-03-11,5459.0,314.33,0.8967,0.0102
A,2024-03-12,4542.0,302.6,0.95,0.0055
A,2024-03-13,4587.0,277.99,0.9583,0.0121
A,2024-03-14,4573.0,316.67,0.9118,0.0061
A,2024-03-15,4285.0,328.52,0.9044,0.0074
A,2024-03-16,3425.0,300.7,0.9252,0.0118
A,2024-03-17,1488.0,309.27,0.9022,0.0092
A,2024-03-18,5367.0,303.8,0.9395,0.0069
A,2024-03-19,5017.0,306.58,0.8767,0.0132
A,2024-03-20,5233.0,286.11,0.8981,0.0171
A,2024-03-21,4773.0,308.82,0.9388,0.0048
A,2024-03-22,4702.0,307.17,0.9284,0.0106
A,2024-03-23,3707.0,314.44,0.9146,0.0083
A,2024-03-24,1476.0,312.19,0.9035,0.0083
A,2024-03-25,5533.0,315.44,0.8835,0.0104
A,2024-03-26,4465.0,290.85,0.9148,0.0118
A,2024-03-27,4840.0,271.0,0.9287,0.0179
A,2024-03-28,4817.0,321.32,0.8968,0.0084
A,2024-03-29,4600.0,315.22,0.9287,0.0058
A,2024-03-30,3561.0,304.88,0.9036,0.0113
A,2024-03-31,594.0,306.22,0.8736,0.0135
A,2024-04-01,5958.0,302.04,0.8677,0.0175
A,2024-04-02,5738.0,291.39,0.9355,0.0138
A,2024-04-03,5702.0,326.33,0.9285,0.0056
A,2024-04-04,5237.0,319.4,0.9649,0.0022
