Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,411.17,37,0,0.0,317.49,78,0,0.0,356.25,42,0,0.0,335.24
August,1,0:30,5,0,0.0,364.18,27,0,0.0,332.5,61,0,0.0,336.73,32,0,0.0,330.08
August,1,1:00,4,0,0.0,309.61,14,0,0.0,359.0,45,0,0.0,330.55,23,0,0.0,343.05
August,1,1:30,3,0,0.0,249.42,8,0,0.0,300.63,33,0,0.0,322.55,17,0,0.0,319.82
August,1,2:00,2,0,0.0,255.85,6,0,0.0,319.04,24,0,0.0,322.72,12,0,0.0,330.14
August,1,2:30,2,0,0.0,272.04,5,0,0.0,342.3,20,0,0.0,340.45,9,0,0.0,339.32
August,1,3:00,2,0,0.0,213.38,5,0,0.0,377.58,16,0,0.0,361.57,3,0,0.0,343.7
August,1,3:30,2,0,0.0,199.93,4,0,0.0,372.18,16,0,0.0,368.12,1,0,0.0,292.65
August,1,4:00,2,0,0.0,237.34,4,0,0.0,303.54,16,0,0.0,329.89,1,0,0.0,323.63
August,1,4:30,2,0,0.0,257.02,4,0,1e-05,247.61,17,0,0.0,324.4,1,0,0.0,330.73
August,1,5:00,2,0,0.000192,258.87,4,0,0.001961,261.31,20,0,7e-06,318.83,1,0,0.0002,320.23
August,1,5:30,2,0,0.024538,245.07,5,0,0.056927,287.25,24,0,0.000952,310.91,3,0,0.008468,275.38
August,1,6:00,3,1,0.44506,245.37,7,3,0.428348,301.86,39,0,0.012595,287.49,13,1,0.042253,258.24
August,1,6:30,5,5,1.0,292.85,12,7,0.560632,319.78,62,1,0.02228,273.5,26,2,0.057105,266.36
August,1,7:00,11,6,0.592629,311.25,37,3,0.094182,286.81,107,1,0.011145,272.25,48,1,0.01502,272.76
August,1,7:30,21,3,0.161069,311.86,61,3,0.047513,282.66,179,2,0.011721,273.81,81,1,0.009549,283.97
August,1,8:00,51,1,0.013595,302.19,114,2,0.016734,293.36,305,1,0.003544,288.95,138,1,0.009346,285.25
August,1,8:30,91,0,0.000324,309.58,167,3,0.020769,313.28,453,0,0.001099,307.32,201,2,0.008069,289.9
August,1,9:00,134,0,2e-06,319.93,240,4,0.018616,331.27,641,2,0.003588,314.45,279,3,0.009741,300.42
August,1,9:30,173,0,9.5e-05,327.79,302,4,0.012199,338.09,800,6,0.007573,318.48,344,5,0.014641,309.27
August,1,10:00,200,0,0.001763,335.21,366,3,0.009094,343.91,922,10,0.010901,329.23,404,6,0.015536,311.72
August,1,10:30,231,1,0.004238,337.65,414,7,0.017227,344.97,1021,16,0.015483,338.0,444,8,0.018732,322.52
August,1,11:00,246,0,0.001605,337.73,460,13,0.027881,349.39,1088,12,0.011313,344.73,480,7,0.015518,327.65
