Portfolio,Date,slot,Interval,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Service Level
A,2025-04-01,0,00:00:00,5.0,0.0,0.0,137.6,1.0
A,2025-04-01,1,00:30:00,5.0,0.0,0.0,263.4,1.0
A,2025-04-01,2,01:00:00,4.0,0.0,0.0,333.25,1.0
A,2025-04-01,3,01:30:00,3.0,0.0,0.0,170.0,1.0
A,2025-04-01,4,02:00:00,1.0,0.0,0.0,667.0,1.0
A,2025-04-01,5,02:30:00,4.0,0.0,0.0,416.5,1.0
A,2025-04-01,6,03:00:00,1.0,0.0,0.0,128.0,1.0
A,2025-04-01,7,03:30:00,4.0,0.0,0.0,158.0,1.0
A,2025-04-01,10,05:00:00,,,0.0,59.0,
A,2025-04-01,11,05:30:00,,,0.0,178.0,
A,2025-04-01,12,06:00:00,,,0.0,181.5,
A,2025-04-01,13,06:30:00,,,0.5,166.0,
A,2025-04-01,14,07:00:00,,,0.1429,386.83,
A,2025-04-01,15,07:30:00,,,0.0,219.13,
A,2025-04-01,16,08:00:00,,,0.0,256.89,
A,2025-04-01,17,08:30:00,,,0.0,262.6,
A,2025-04-01,18,09:00:00,,,0.0,315.74,
A,2025-04-01,19,09:30:00,173.0,1.0,0.0058,316.33,0.9128
A,2025-04-01,20,10:00:00,197.0,0.0,0.0,288.58,0.9949
A,2025-04-01,21,10:30:00,221.0,0.0,0.0,330.24,0.9864
A,2025-04-01,22,11:00:00,267.0,0.0,0.0,280.94,1.0
A,2025-04-01,23,11:30:00,273.0,0.0,0.0,322.6,0.9817
A,2025-04-01,24,12:00:00,245.0,1.0,0.0041,335.5,0.9754
A,2025-04-01,25,12:30:00,258.0,1.0,0.0039,284.15,0.9572
A,2025-04-01,26,13:00:00,239.0,0.0,0.0,321.13,1.0
A,2025-04-01,27,13:30:00,238.0,0.0,0.0,328.56,0.9958
A,2025-04-01,28,14:00:00,273.0,0.0,0.0,307.4,0.9963
A,2025-04-01,29,14:30:00,274.0,0.0,0.0,307.11,0.9927
A,2025-04-01,30,15:00:00,255.0,0.0,0.0,301.51,0.9725
A,2025-04-01,31,15:30:00,259.0,4.0,0.0154,323.3,0.9412
A,2025-04-01,32,16:00:00,259.0,2.0,0.0077,326.37,0.9883
A,2025-04-01,33,16:30:00,284.0,0.0,0.0,330.98,0.9894
A,2025-04-01,34,17:00:00,254.0,0.0,0.0,332.5,0.9843
A,2025-04-01,35,17:30:00,191.0,0.0,0.0,322.13,0.9948
A,2025-04-01,36,18:00:00,163.0,0.0,0.0,326.13,0.9939
A,2025-04-01,37,18:30:00,171.0,4.0,0.0234,336.36,0.7545
A,2025-04-01,38,19:00:00,108.0,0.0,0.0,347.57,0.9259
A,2025-04-01,39,19:30:00,75.0,0.0,0.0,324.07,0.96
A,2025-04-01,40,20:00:00,56.0,1.0,0.0179,350.62,0.9636
A,2025-04-01,41,20:30:00,66.0,5.0,0.0758,350.28,0.7541
A,2025-04-01,42,21:00:00,48.0,2.0,0.0417,387.59,0.6957
A,2025-04-01,43,21:30:00,26.0,0.0,0.0,291.92,1.0
A,2025-04-01,44,22:00:00,27.0,0.0,0.0,269.37,1.0
A,2025-04-01,45,22:30:00,13.0,2.0,0.1538,192.36,0.6364
A,2025-04-01,46,23:00:00,14.0,1.0,0.0714,334.46,0.8462
A,2025-04-01,47,23:30:00,13.0,0.0,0.0,260.31,1.0
A,2025-04-02,0,00:00:00,5.0,0.0,0.0,327.6,1.0
A,2025-04-02,1,00:30:00,7.0,0.0,0.0,242.29,1.0
A,2025-04-02,2,01:00:00,2.0,0.0,0.0,355.5,1.0
A,2025-04-02,3,01:30:00,6.0,0.0,0.0,258.0,1.0
A,2025-04-02,4,02:00:00,3.0,0.0,0.0,273.67,1.0
A,2025-04-02,5,02:30:00,1.0,0.0,0.0,200.0,1.0
A,2025-04-02,6,03:00:00,3.0,0.0,0.0,309.33,1.0
A,2025-04-02,8,04:00:00,1.0,0.0,0.0,269.0,1.0
A,2025-04-02,10,05:00:00,1.0,0.0,0.0,196.0,1.0
A,2025-04-02,11,05:30:00,2.0,0.0,0.0,469.5,1.0
A,2025-04-02,12,06:00:00,1.0,0.0,0.0,1085.0,1.0
A,2025-04-02,13,06:30:00,1.0,0.0,0.0,155.0,1.0
A,2025-04-02,14,07:00:00,8.0,0.0,0.0,145.88,1.0
A,2025-04-02,15,07:30:00,12.0,0.0,0.0,321.42,0.8333
A,2025-04-02,16,08:00:00,42.0,0.0,0.0,268.95,0.9762
A,2025-04-02,17,08:30:00,84.0,3.0,0.0357,249.33,0.642
A,2025-04-02,18,09:00:00,118.0,4.0,0.0339,312.5,0.7281
A,2025-04-02,19,09:30:00,150.0,1.0,0.0067,322.62,0.698
A,2025-04-02,20,10:00:00,171.0,0.0,0.0,282.39,0.9825
A,2025-04-02,21,10:30:00,192.0,0.0,0.0,307.71,0.9583
A,2025-04-02,22,11:00:00,240.0,4.0,0.0167,329.61,0.9195
A,2025-04-02,23,11:30:00,235.0,1.0,0.0043,345.16,0.8333
A,2025-04-02,24,12:00:00,240.0,1.0,0.0042,344.82,0.9874
A,2025-04-02,25,12:30:00,246.0,5.0,0.0203,332.64,0.8423
A,2025-04-02,26,13:00:00,241.0,0.0,0.0,322.92,0.888
A,2025-04-02,27,13:30:00,273.0,0.0,0.0,304.0,0.9634
A,2025-04-02,28,14:00:00,275.0,0.0,0.0,339.43,0.9964
A,2025-04-02,29,14:30:00,253.0,0.0,0.0,292.37,0.996
A,2025-04-02,30,15:00:00,268.0,0.0,0.0,351.72,0.9515
A,2025-04-02,31,15:30:00,263.0,7.0,0.0266,320.33,0.9609
A,2025-04-02,32,16:00:00,244.0,1.0,0.0041,357.62,0.7942
A,2025-04-02,33,16:30:00,244.0,1.0,0.0041,321.67,0.9959
A,2025-04-02,34,17:00:00,211.0,0.0,0.0,328.45,0.9953
A,2025-04-02,35,17:30:00,175.0,0.0,0.0,356.8,1.0
A,2025-04-02,36,18:00:00,159.0,0.0,0.0,304.06,0.9874
A,2025-04-02,37,18:30:00,157.0,0.0,0.0,353.96,1.0
A,2025-04-02,38,19:00:00,81.0,0.0,0.0,355.14,1.0
A,2025-04-02,39,19:30:00,73.0,0.0,0.0,319.52,1.0
A,2025-04-02,40,20:00:00,62.0,0.0,0.0,326.77,1.0
A,2025-04-02,41,20:30:00,46.0,0.0,0.0,282.54,0.9783
A,2025-04-02,42,21:00:00,39.0,0.0,0.0,239.31,1.0
A,2025-04-02,43,21:30:00,24.0,0.0,0.0,320.29,1.0
A,2025-04-02,44,22:00:00,20.0,0.0,0.0,297.5,1.0
A,2025-04-02,45,22:30:00,16.0,0.0,0.0,258.94,0.4375
A,2025-04-02,46,23:00:00,15.0,0.0,0.0,342.67,0.8
A,2025-04-02,47,23:30:00,10.0,0.0,0.0,257.9,1.0
A,2025-04-03,0,00:00:00,8.0,0.0,0.0,291.75,1.0
A,2025-04-03,1,00:30:00,4.0,0.0,0.0,230.75,1.0
A,2025-04-03,2,01:00:00,1.0,0.0,0.0,89.0,1.0
A,2025-04-03,3,01:30:00,1.0,0.0,0.0,258.0,1.0
A,2025-04-03,4,02:00:00,1.0,0.0,0.0,113.0,1.0
A,2025-04-03,8,04:00:00,2.0,0.0,0.0,203.5,1.0
A,2025-04-03,9,04:30:00,1.0,0.0,0.0,76.0,1.0
A,2025-04-03,10,05:00:00,1.0,0.0,0.0,196.0,1.0
A,2025-04-03,11,05:30:00,1.0,0.0,0.0,281.0,1.0
A,2025-04-03,12,06:00:00,3.0,0.0,0.0,284.0,1.0
A,2025-04-03,13,06:30:00,3.0,1.0,0.3333,323.5,0.5
A,2025-04-03,14,07:00:00,13.0,2.0,0.1538,327.18,0.8182
A,2025-04-03,15,07:30:00,6.0,0.0,0.0,459.5,0.8333
A,2025-04-03,16,08:00:00,43.0,1.0,0.0233,274.83,0.9286
A,2025-04-03,17,08:30:00,96.0,0.0,0.0,310.55,1.0
A,2025-04-03,18,09:00:00,109.0,0.0,0.0,291.0,0.9908
A,2025-04-03,19,09:30:00,149.0,0.0,0.0,311.04,0.9866
A,2025-04-03,20,10:00:00,192.0,0.0,0.0,292.23,0.9844
A,2025-04-03,21,10:30:00,223.0,0.0,0.0,288.19,1.0
A,2025-04-03,22,11:00:00,257.0,4.0,0.0156,293.48,0.9486
A,2025-04-03,23,11:30:00,235.0,0.0,0.0,288.07,0.9787
A,2025-04-03,24,12:00:00,261.0,0.0,0.0,295.89,0.9617
A,2025-04-03,25,12:30:00,237.0,0.0,0.0,303.3,0.962
A,2025-04-03,26,13:00:00,246.0,,,,0.9593
A,2025-04-03,27,13:30:00,230.0,,,,0.9825
A,2025-04-03,28,14:00:00,256.0,,,,0.9805
A,2025-04-03,29,14:30:00,283.0,,,,0.9716
A,2025-04-03,30,15:00:00,272.0,,,,0.9114
A,2025-04-03,31,15:30:00,242.0,,,,0.9835
A,2025-04-03,32,16:00:00,261.0,,,,0.9885
A,2025-04-03,33,16:30:00,223.0,,,,1.0
A,2025-04-03,34,17:00:00,210.0,,,,0.9857
A,2025-04-03,35,17:30:00,183.0,,,,0.9891
A,2025-04-03,36,18:00:00,139.0,,,,1.0
A,2025-04-03,37,18:30:00,159.0,0.0,0.0,288.44,0.9811
A,2025-04-03,38,19:00:00,95.0,1.0,0.0105,380.83,0.9787
A,2025-04-03,39,19:30:00,78.0,0.0,0.0,380.12,1.0
A,2025-04-03,40,20:00:00,52.0,0.0,0.0,327.65,0.9615
A,2025-04-03,41,20:30:00,47.0,2.0,0.0426,342.8,0.8889
A,2025-04-03,42,21:00:00,36.0,3.0,0.0833,270.27,0.9394
A,2025-04-03,43,21:30:00,22.0,0.0,0.0,285.95,1.0
A,2025-04-03,44,22:00:00,27.0,1.0,0.037,350.27,0.9231
A,2025-04-03,45,22:30:00,13.0,1.0,0.0769,320.42,0.5
A,2025-04-03,46,23:00:00,14.0,0.0,0.0,275.0,0.5
A,2025-04-03,47,23:30:00,9.0,0.0,0.0,247.67,0.7778
A,2025-04-04,0,00:00:00,5.0,0.0,0.0,228.8,0.8
A,2025-04-04,1,00:30:00,6.0,0.0,0.0,337.0,1.0
A,2025-04-04,2,01:00:00,9.0,0.0,0.0,202.89,1.0
A,2025-04-04,3,01:30:00,4.0,0.0,0.0,256.0,1.0
A,2025-04-04,7,03:30:00,0.0,0.0,,,
A,2025-04-04,8,04:00:00,2.0,0.0,0.0,276.5,0.5
A,2025-04-04,9,04:30:00,4.0,0.0,0.0,359.75,0.25
A,2025-04-04,10,05:00:00,1.0,0.0,0.0,208.0,1.0
A,2025-04-04,11,05:30:00,2.0,0.0,0.0,113.5,1.0
A,2025-04-04,12,06:00:00,2.0,0.0,0.0,236.0,1.0
A,2025-04-04,13,06:30:00,7.0,3.0,0.4286,333.75,0.25
A,2025-04-04,14,07:00:00,8.0,0.0,0.0,288.5,0.75
A,2025-04-04,15,07:30:00,18.0,0.0,0.0,276.06,0.9444
A,2025-04-04,16,08:00:00,45.0,0.0,0.0,273.38,0.9333
A,2025-04-04,17,08:30:00,86.0,0.0,0.0,271.07,1.0
A,2025-04-04,18,09:00:00,122.0,0.0,0.0,325.59,0.9918
A,2025-04-04,19,09:30:00,174.0,0.0,0.0,283.62,0.9885
A,2025-04-04,20,10:00:00,166.0,0.0,0.0,298.48,0.988
A,2025-04-04,21,10:30:00,212.0,1.0,0.0047,330.84,0.9953
A,2025-04-04,22,11:00:00,221.0,0.0,0.0,310.86,0.9955
A,2025-04-04,23,11:30:00,232.0,1.0,0.0043,317.39,0.9957
A,2025-04-04,24,12:00:00,232.0,0.0,0.0,310.03,1.0
A,2025-04-04,25,12:30:00,230.0,0.0,0.0,327.65,0.9652
A,2025-04-04,26,13:00:00,260.0,2.0,0.0077,320.2,0.938
A,2025-04-04,27,13:30:00,257.0,0.0,0.0,310.3,0.9261
A,2025-04-04,28,14:00:00,234.0,0.0,0.0,291.21,1.0
A,2025-04-04,29,14:30:00,276.0,1.0,0.0036,294.69,0.8873
A,2025-04-04,30,15:00:00,256.0,4.0,0.0156,315.11,0.7619
A,2025-04-04,31,15:30:00,269.0,2.0,0.0074,327.46,0.9064
A,2025-04-04,32,16:00:00,268.0,0.0,0.0,308.75,0.9813
A,2025-04-04,33,16:30:00,234.0,0.0,0.0,327.39,1.0
A,2025-04-04,34,17:00:00,199.0,0.0,0.0,307.53,0.995
A,2025-04-04,35,17:30:00,174.0,0.0,0.0,341.68,0.954
A,2025-04-04,36,18:00:00,163.0,0.0,0.0,323.99,0.9448
A,2025-04-04,37,18:30:00,129.0,1.0,0.0078,340.3,0.9688
A,2025-04-04,38,19:00:00,62.0,0.0,0.0,327.85,1.0
A,2025-04-04,39,19:30:00,48.0,0.0,0.0,312.79,0.9792
A,2025-04-04,40,20:00:00,49.0,0.0,0.0,321.65,1.0
A,2025-04-04,41,20:30:00,35.0,0.0,0.0,296.69,1.0
A,2025-04-04,42,21:00:00,31.0,0.0,0.0,343.29,1.0
A,2025-04-04,43,21:30:00,20.0,0.0,0.0,285.1,1.0
A,2025-04-04,44,22:00:00,28.0,0.0,0.0,303.64,1.0
A,2025-04-04,45,22:30:00,12.0,0.0,0.0,187.5,0.5833
A,2025-04-04,46,23:00:00,10.0,1.0,0.1,209.56,0.6667
A,2025-04-04,47,23:30:00,8.0,1.0,0.125,336.29,0.8571
A,2025-04-05,0,00:00:00,5.0,1.0,0.2,430.5,0.75
A,2025-04-05,1,00:30:00,7.0,0.0,0.0,378.0,1.0
A,2025-04-05,2,01:00:00,3.0,0.0,0.0,716.67,1.0
A,2025-04-05,3,01:30:00,3.0,1.0,0.3333,676.5,0.5
A,2025-04-05,4,02:00:00,1.0,1.0,1.0,,
A,2025-04-05,5,02:30:00,1.0,0.0,0.0,1681.0,1.0
A,2025-04-05,6,03:00:00,3.0,0.0,0.0,167.0,1.0
A,2025-04-05,7,03:30:00,1.0,0.0,0.0,1013.0,1.0
A,2025-04-05,8,04:00:00,2.0,0.0,0.0,269.0,1.0
A,2025-04-05,11,05:30:00,2.0,0.0,0.0,113.0,1.0
A,2025-04-05,12,06:00:00,1.0,0.0,0.0,129.0,1.0
A,2025-04-05,13,06:30:00,3.0,0.0,0.0,334.0,1.0
A,2025-04-05,14,07:00:00,4.0,0.0,0.0,250.0,1.0
A,2025-04-05,15,07:30:00,7.0,1.0,0.1429,202.33,0.8333
A,2025-04-05,16,08:00:00,29.0,0.0,0.0,246.69,0.8966
A,2025-04-05,17,08:30:00,48.0,0.0,0.0,261.96,1.0
A,2025-04-05,18,09:00:00,79.0,0.0,0.0,293.37,0.962
A,2025-04-05,19,09:30:00,104.0,0.0,0.0,293.68,0.9519
A,2025-04-05,20,10:00:00,111.0,0.0,0.0,254.3,0.9189
A,2025-04-05,21,10:30:00,154.0,2.0,0.013,278.04,0.8816
A,2025-04-05,22,11:00:00,172.0,0.0,0.0,294.19,0.936
A,2025-04-05,23,11:30:00,163.0,0.0,0.0,272.81,0.9755
A,2025-04-05,24,12:00:00,182.0,2.0,0.011,306.28,0.7722
A,2025-04-05,25,12:30:00,202.0,4.0,0.0198,281.16,0.8283
A,2025-04-05,26,13:00:00,188.0,0.0,0.0,294.5,0.8989
A,2025-04-05,27,13:30:00,162.0,0.0,0.0,295.97,0.9691
A,2025-04-05,28,14:00:00,173.0,0.0,0.0,278.04,0.9827
A,2025-04-05,29,14:30:00,178.0,1.0,0.0056,311.85,0.904
A,2025-04-05,30,15:00:00,163.0,1.0,0.0061,301.06,0.9938
A,2025-04-05,31,15:30:00,161.0,0.0,0.0,318.52,0.9503
A,2025-04-05,32,16:00:00,172.0,0.0,0.0,251.78,1.0
A,2025-04-05,33,16:30:00,154.0,0.0,0.0,280.45,1.0
A,2025-04-05,34,17:00:00,125.0,1.0,0.008,340.96,0.9597
A,2025-04-05,35,17:30:00,131.0,0.0,0.0,277.89,0.855
A,2025-04-05,36,18:00:00,127.0,3.0,0.0236,316.95,0.7581
A,2025-04-05,37,18:30:00,79.0,0.0,0.0,334.23,1.0
A,2025-04-05,38,19:00:00,70.0,0.0,0.0,257.41,1.0
A,2025-04-05,39,19:30:00,41.0,0.0,0.0,302.68,1.0
A,2025-04-05,40,20:00:00,45.0,1.0,0.0222,293.8,1.0
A,2025-04-05,41,20:30:00,26.0,0.0,0.0,232.85,0.9615
A,2025-04-05,42,21:00:00,20.0,2.0,0.1,223.17,1.0
A,2025-04-05,43,21:30:00,24.0,0.0,0.0,358.96,0.875
A,2025-04-05,44,22:00:00,15.0,0.0,0.0,385.07,1.0
A,2025-04-05,45,22:30:00,9.0,1.0,0.1111,284.38,0.375
A,2025-04-05,46,23:00:00,13.0,3.0,0.2308,355.9,0.3
A,2025-04-05,47,23:30:00,2.0,0.0,0.0,268.0,1.0
A,2025-04-06,0,00:00:00,2.0,0.0,0.0,762.0,0.5
A,2025-04-06,1,00:30:00,3.0,2.0,0.6667,366.0,0.0
A,2025-04-06,3,01:30:00,1.0,0.0,0.0,371.0,1.0
A,2025-04-06,4,02:00:00,1.0,0.0,0.0,21.0,1.0
A,2025-04-06,5,02:30:00,0.0,0.0,,,
A,2025-04-06,6,03:00:00,2.0,0.0,0.0,308.0,1.0
A,2025-04-06,11,05:30:00,0.0,0.0,,,
A,2025-04-06,12,06:00:00,1.0,0.0,0.0,222.0,1.0
A,2025-04-06,13,06:30:00,1.0,0.0,0.0,106.0,1.0
A,2025-04-06,14,07:00:00,5.0,0.0,0.0,493.8,1.0
A,2025-04-06,15,07:30:00,1.0,0.0,0.0,278.0,1.0
