Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client
April,1,00:00:00,1.0,5.0,0.0,0.0,137.6,A
April,1,00:30:00,1.0,5.0,0.0,0.0,263.4,A
April,1,01:00:00,1.0,4.0,0.0,0.0,333.25,A
April,1,01:30:00,1.0,3.0,0.0,0.0,170.0,A
April,1,02:00:00,1.0,1.0,0.0,0.0,667.0,A
April,1,02:30:00,1.0,4.0,0.0,0.0,416.5,A
April,1,03:00:00,1.0,1.0,0.0,0.0,128.0,A
April,1,03:30:00,1.0,4.0,0.0,0.0,158.0,A
April,1,05:00:00,1.0,4.0,0.0,0.0,59.0,A
April,1,05:30:00,1.0,4.0,0.0,0.0,178.0,A
April,1,06:00:00,1.0,4.0,0.0,0.0,181.5,A
April,1,06:30:00,1.0,4.0,0.0,0.5,166.0,A
April,1,07:00:00,1.0,4.0,0.0,0.1429,386.83,A
April,1,07:30:00,1.0,4.0,0.0,0.0,219.13,A
April,1,08:00:00,1.0,4.0,0.0,0.0,256.89,A
April,1,08:30:00,1.0,4.0,0.0,0.0,262.6,A
April,1,09:00:00,1.0,4.0,0.0,0.0,315.74,A
April,1,09:30:00,0.9128,173.0,1.0,0.0058,316.33,A
April,1,10:00:00,0.9949,197.0,0.0,0.0,288.58,A
April,1,10:30:00,0.9864,221.0,0.0,0.0,330.24,A
April,1,11:00:00,1.0,267.0,0.0,0.0,280.94,A
April,1,11:30:00,0.9817,273.0,0.0,0.0,322.6,A
April,1,12:00:00,0.9754,245.0,1.0,0.0041,335.5,A
April,1,12:30:00,0.9572,258.0,1.0,0.0039,284.15,A
April,1,13:00:00,1.0,239.0,0.0,0.0,321.13,A
April,1,13:30:00,0.9958,238.0,0.0,0.0,328.56,A
April,1,14:00:00,0.9963,273.0,0.0,0.0,307.4,A
April,1,14:30:00,0.9927,274.0,0.0,0.0,307.11,A
April,1,15:00:00,0.9725,255.0,0.0,0.0,301.51,A
April,1,15:30:00,0.9412,259.0,4.0,0.0154,323.3,A
April,1,16:00:00,0.9883,259.0,2.0,0.0077,326.37,A
April,1,16:30:00,0.9894,284.0,0.0,0.0,330.98,A
April,1,17:00:00,0.9843,254.0,0.0,0.0,332.5,A
April,1,17:30:00,0.9948,191.0,0.0,0.0,322.13,A
April,1,18:00:00,0.9939,163.0,0.0,0.0,326.13,A
April,1,18:30:00,0.7545,171.0,4.0,0.0234,336.36,A
April,1,19:00:00,0.9259,108.0,0.0,0.0,347.57,A
April,1,19:30:00,0.96,75.0,0.0,0.0,324.07,A
April,1,20:00:00,0.9636,56.0,1.0,0.0179,350.62,A
April,1,20:30:00,0.7541,66.0,5.0,0.0758,350.28,A
April,1,21:00:00,0.6957,48.0,2.0,0.0417,387.59,A
April,1,21:30:00,1.0,26.0,0.0,0.0,291.92,A
April,1,22:00:00,1.0,27.0,0.0,0.0,269.37,A
April,1,22:30:00,0.6364,13.0,2.0,0.1538,192.36,A
April,1,23:00:00,0.8462,14.0,1.0,0.0714,334.46,A
April,1,23:30:00,1.0,13.0,0.0,0.0,260.31,A
April,2,00:00:00,1.0,5.0,0.0,0.0,327.6,A
April,2,00:30:00,1.0,7.0,0.0,0.0,242.29,A
April,2,01:00:00,1.0,2.0,0.0,0.0,355.5,A
April,2,01:30:00,1.0,6.0,0.0,0.0,258.0,A
April,2,02:00:00,1.0,3.0,0.0,0.0,273.67,A
April,2,02:30:00,1.0,1.0,0.0,0.0,200.0,A
April,2,03:00:00,1.0,3.0,0.0,0.0,309.33,A
April,2,04:00:00,1.0,1.0,0.0,0.0,269.0,A
April,2,05:00:00,1.0,1.0,0.0,0.0,196.0,A
April,2,05:30:00,1.0,2.0,0.0,0.0,469.5,A
April,2,06:00:00,1.0,1.0,0.0,0.0,1085.0,A
April,2,06:30:00,1.0,1.0,0.0,0.0,155.0,A
April,2,07:00:00,1.0,8.0,0.0,0.0,145.88,A
April,2,07:30:00,0.8333,12.0,0.0,0.0,321.42,A
April,2,08:00:00,0.9762,42.0,0.0,0.0,268.95,A
April,2,08:30:00,0.642,84.0,3.0,0.0357,249.33,A
April,2,09:00:00,0.7281,118.0,4.0,0.0339,312.5,A
April,2,09:30:00,0.698,150.0,1.0,0.0067,322.62,A
April,2,10:00:00,0.9825,171.0,0.0,0.0,282.39,A
April,2,10:30:00,0.9583,192.0,0.0,0.0,307.71,A
April,2,11:00:00,0.9195,240.0,4.0,0.0167,329.61,A
April,2,11:30:00,0.8333,235.0,1.0,0.0043,345.16,A
April,2,12:00:00,0.9874,240.0,1.0,0.0042,344.82,A
April,2,12:30:00,0.8423,246.0,5.0,0.0203,332.64,A
April,2,13:00:00,0.888,241.0,0.0,0.0,322.92,A
April,2,13:30:00,0.9634,273.0,0.0,0.0,304.0,A
April,2,14:00:00,0.9964,275.0,0.0,0.0,339.43,A
April,2,14:30:00,0.996,253.0,0.0,0.0,292.37,A
April,2,15:00:00,0.9515,268.0,0.0,0.0,351.72,A
April,2,15:30:00,0.9609,263.0,7.0,0.0266,320.33,A
April,2,16:00:00,0.7942,244.0,1.0,0.0041,357.62,A
April,2,16:30:00,0.9959,244.0,1.0,0.0041,321.67,A
April,2,17:00:00,0.9953,211.0,0.0,0.0,328.45,A
April,2,17:30:00,1.0,175.0,0.0,0.0,356.8,A
April,2,18:00:00,0.9874,159.0,0.0,0.0,304.06,A
April,2,18:30:00,1.0,157.0,0.0,0.0,353.96,A
April,2,19:00:00,1.0,81.0,0.0,0.0,355.14,A
April,2,19:30:00,1.0,73.0,0.0,0.0,319.52,A
April,2,20:00:00,1.0,62.0,0.0,0.0,326.77,A
April,2,20:30:00,0.9783,46.0,0.0,0.0,282.54,A
April,2,21:00:00,1.0,39.0,0.0,0.0,239.31,A
April,2,21:30:00,1.0,24.0,0.0,0.0,320.29,A
April,2,22:00:00,1.0,20.0,0.0,0.0,297.5,A
April,2,22:30:00,0.4375,16.0,0.0,0.0,258.94,A
April,2,23:00:00,0.8,15.0,0.0,0.0,342.67,A
April,2,23:30:00,1.0,10.0,0.0,0.0,257.9,A
April,3,00:00:00,1.0,8.0,0.0,0.0,291.75,A
April,3,00:30:00,1.0,4.0,0.0,0.0,230.75,A
April,3,01:00:00,1.0,1.0,0.0,0.0,89.0,A
April,3,01:30:00,1.0,1.0,0.0,0.0,258.0,A
April,3,02:00:00,1.0,1.0,0.0,0.0,113.0,A
April,3,04:00:00,1.0,2.0,0.0,0.0,203.5,A
April,3,04:30:00,1.0,1.0,0.0,0.0,76.0,A
April,3,05:00:00,1.0,1.0,0.0,0.0,196.0,A
April,3,05:30:00,1.0,1.0,0.0,0.0,281.0,A
April,3,06:00:00,1.0,3.0,0.0,0.0,284.0,A
April,3,06:30:00,0.5,3.0,1.0,0.3333,323.5,A
April,3,07:00:00,0.8182,13.0,2.0,0.1538,327.18,A
April,3,07:30:00,0.8333,6.0,0.0,0.0,459.5,A
April,3,08:00:00,0.9286,43.0,1.0,0.0233,274.83,A
April,3,08:30:00,1.0,96.0,0.0,0.0,310.55,A
April,3,09:00:00,0.9908,109.0,0.0,0.0,291.0,A
April,3,09:30:00,0.9866,149.0,0.0,0.0,311.04,A
April,3,10:00:00,0.9844,192.0,0.0,0.0,292.23,A
April,3,10:30:00,1.0,223.0,0.0,0.0,288.19,A
April,3,11:00:00,0.9486,257.0,4.0,0.0156,293.48,A
April,3,11:30:00,0.9787,235.0,0.0,0.0,288.07,A
April,3,12:00:00,0.9617,261.0,0.0,0.0,295.89,A
April,3,12:30:00,0.962,237.0,0.0,0.0,303.3,A
April,3,13:00:00,0.9593,246.0,0.0,0.0,303.3,A
April,3,13:30:00,0.9825,230.0,0.0,0.0,303.3,A
April,3,14:00:00,0.9805,256.0,0.0,0.0,303.3,A
April,3,14:30:00,0.9716,283.0,0.0,0.0,303.3,A
April,3,15:00:00,0.9114,272.0,0.0,0.0,303.3,A
April,3,15:30:00,0.9835,242.0,0.0,0.0,303.3,A
April,3,16:00:00,0.9885,261.0,0.0,0.0,303.3,A
April,3,16:30:00,1.0,223.0,0.0,0.0,303.3,A
April,3,17:00:00,0.9857,210.0,0.0,0.0,303.3,A
April,3,17:30:00,0.9891,183.0,0.0,0.0,303.3,A
April,3,18:00:00,1.0,139.0,0.0,0.0,303.3,A
April,3,18:30:00,0.9811,159.0,0.0,0.0,288.44,A
April,3,19:00:00,0.9787,95.0,1.0,0.0105,380.83,A
April,3,19:30:00,1.0,78.0,0.0,0.0,380.12,A
April,3,20:00:00,0.9615,52.0,0.0,0.0,327.65,A
April,3,20:30:00,0.8889,47.0,2.0,0.0426,342.8,A
April,3,21:00:00,0.9394,36.0,3.0,0.0833,270.27,A
April,3,21:30:00,1.0,22.0,0.0,0.0,285.95,A
April,3,22:00:00,0.9231,27.0,1.0,0.037,350.27,A
April,3,22:30:00,0.5,13.0,1.0,0.0769,320.42,A
April,3,23:00:00,0.5,14.0,0.0,0.0,275.0,A
