Portfolio,feature,importance
A,slot,0.05333673078002926
A,dow,0.00567496830702329
A,daily_cv,0.010451144335913272
A,is_peak,0.8128946972851651
A,slot_sin,0.07329511535470287
A,slot_cos,0.03970613682382708
A,dow_sin,0.0018070091635304767
A,dow_cos,0.0017060172745576474
A,dom_sin,0.0006357123848548514
A,dom_cos,0.000492468290396284
B,slot,0.1056511778436195
B,dow,0.002429894875478857
B,daily_cv,0.002761082160732841
B,is_peak,0.6524408679621975
B,slot_sin,0.1923222273899936
B,slot_cos,0.04140075840286728
B,dow_sin,0.0012897977897041069
B,dow_cos,0.0011496750501011068
B,dom_sin,0.0003106673333469037
B,dom_cos,0.0002438511919582536
C,slot,0.07643975948626575
C,dow,0.0015085672035691558
C,daily_cv,0.001671671668185039
C,is_peak,0.7627856374785423
C,slot_sin,0.11355334956135117
C,slot_cos,0.04207551312851014
C,dow_sin,0.0007941681554928842
C,dow_cos,0.0009327912371028967
C,dom_sin,0.00014740899500629374
C,dom_cos,9.11330859743692e-05
D,slot,0.08531515293416223
D,dow,0.001745889200243827
D,daily_cv,0.001993599994699935
D,is_peak,0.7252784230603729
D,slot_sin,0.14287947333534187
D,slot_cos,0.04053309962090687
D,dow_sin,0.0008072411240133514
D,dow_cos,0.0010155399872590302
D,dom_sin,0.00015304575118254944
D,dom_cos,0.0002785349918173216
