Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,413.57,38,0,0.0,337.35,79,0,0.0,364.68,43,0,0.0,335.95
August,1,0:30,5,0,0.0,359.41,29,0,0.0,353.3,62,0,0.0,344.73,33,0,0.0,330.78
August,1,1:00,4,0,0.0,296.49,14,0,0.0,381.6,44,0,0.0,339.02,24,0,0.0,343.77
August,1,1:30,3,0,0.0,262.38,8,0,0.0,321.24,31,0,0.0,332.01,18,0,0.0,320.55
August,1,2:00,2,0,0.0,264.29,7,0,0.0,343.58,22,0,0.0,332.43,13,0,0.0,332.58
August,1,2:30,1,0,0.0,241.75,5,0,0.0,365.29,18,0,0.0,348.72,9,0,0.0,353.92
August,1,3:00,1,0,0.0,169.79,5,0,0.0,400.11,14,0,0.0,358.66,3,0,0.0,355.41
August,1,3:30,1,0,0.0,115.37,4,0,0.0,388.31,14,0,0.0,370.24,1,0,0.0,206.61
August,1,4:00,1,0,0.0,132.57,4,0,0.0,304.8,14,0,0.0,328.5,0,0,0.0,180.99
August,1,4:30,1,0,0.0,291.95,4,0,0.0,245.4,16,0,0.0,328.65,0,0,0.0,259.07
August,1,5:00,2,0,0.0,292.08,4,0,0.0,262.59,19,0,0.0,326.22,1,0,0.0,297.92
August,1,5:30,2,0,0.0,227.18,5,0,0.0,268.89,23,0,0.0,318.27,2,0,0.0,317.32
August,1,6:00,3,2,0.666667,233.29,7,2,0.285714,305.45,40,1,0.025,294.29,13,2,0.153846,277.64
August,1,6:30,5,5,1.0,282.33,13,5,0.384615,338.39,66,4,0.060606,279.97,27,4,0.148148,267.83
August,1,7:00,11,11,1.0,308.99,37,2,0.054054,304.71,110,4,0.036364,278.69,49,2,0.040816,273.34
