Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,401.52,36,0,0.0,327.52,75,0,0.0,354.06,41,0,0.0,326.16
August,1,0:30,5,0,0.0,348.94,27,0,0.0,343.01,59,0,0.0,334.69,31,0,0.0,321.14
August,1,1:00,3,0,0.0,287.85,14,0,0.0,370.49,42,0,0.0,329.15,23,0,0.0,333.76
August,1,1:30,3,0,0.0,254.74,8,0,0.0,311.89,29,0,0.0,322.34,17,0,0.0,311.22
August,1,2:00,2,0,0.0,256.59,6,0,0.0,333.57,21,0,0.0,322.75,12,0,0.0,322.89
August,1,2:30,1,0,0.0,234.71,5,0,0.0,354.65,17,0,0.0,338.57,9,0,0.0,343.61
August,1,3:00,1,0,0.0,164.84,5,0,0.0,388.45,14,0,0.0,348.21,3,0,0.0,345.06
August,1,3:30,1,0,0.0,112.01,4,0,0.0,377.0,13,0,0.0,359.46,1,0,0.0,200.59
August,1,4:00,1,0,0.0,128.71,4,0,0.0,295.92,14,0,0.0,318.94,0,0,0.0,175.71
August,1,4:30,1,0,0.0,283.45,4,0,0.0,238.25,15,0,0.0,319.07,0,0,0.0,251.53
August,1,5:00,2,0,0.0,283.58,4,0,0.0,254.95,18,0,0.0,316.71,0,0,0.0,289.25
August,1,5:30,2,0,0.0,220.56,5,0,0.0,261.06,22,0,0.0,309.0,2,0,0.0,308.08
August,1,6:00,3,2,0.666667,226.49,7,2,0.285714,296.56,38,1,0.026316,285.72,12,2,0.166667,269.56
August,1,6:30,5,5,1.0,274.11,13,5,0.384615,328.53,62,4,0.064516,271.82,26,4,0.153846,260.02
August,1,7:00,11,11,1.0,299.99,35,2,0.057143,295.83,105,4,0.038095,270.58,46,2,0.043478,265.38
August,1,7:30,20,6,0.3,304.61,59,2,0.033898,291.59,175,6,0.034286,272.12,79,2,0.025316,276.29
August,1,8:00,49,1,0.020408,295.35,109,1,0.009174,302.63,298,3,0.010067,287.17,134,4,0.029851,277.52
August,1,8:30,88,0,0.0,302.58,161,2,0.012422,323.18,436,2,0.004587,305.43,193,5,0.025907,282.05
August,1,9:00,128,0,0.0,312.69,232,3,0.012931,341.74,608,7,0.011513,312.51,269,8,0.02974,292.29
August,1,9:30,164,0,0.0,320.38,288,3,0.010417,348.77,758,18,0.023747,316.53,332,14,0.042169,300.9
August,1,10:00,187,1,0.005348,327.62,351,2,0.005698,354.77,872,30,0.034404,327.21,390,18,0.046154,303.28
August,1,10:30,219,2,0.009132,330.01,399,5,0.012531,355.87,962,48,0.049896,335.92,427,24,0.056206,313.79
August,1,11:00,234,1,0.004274,330.09,437,9,0.020595,360.43,1026,37,0.036062,342.61,458,21,0.045852,318.78
August,1,11:30,244,2,0.008197,328.14,477,13,0.027254,368.81,1071,45,0.042017,344.25,482,18,0.037344,317.59
August,1,12:00,252,4,0.015873,326.51,519,10,0.019268,371.61,1084,66,0.060886,344.25,495,16,0.032323,317.63
August,1,12:30,253,2,0.007905,334.92,531,11,0.020716,373.74,1086,61,0.056169,347.68,504,14,0.027778,325.68
August,1,13:00,253,2,0.007905,340.92,545,11,0.020183,366.05,1082,37,0.034196,354.51,508,14,0.027559,328.78
August,1,13:30,256,1,0.003906,338.34,556,12,0.021583,364.08,1082,35,0.032348,355.41,518,19,0.03668,326.78
August,1,14:00,258,1,0.003876,336.48,577,14,0.024263,370.61,1097,38,0.03464,355.89,529,27,0.05104,323.97
August,1,14:30,264,4,0.015152,336.18,589,15,0.025467,372.27,1095,42,0.038356,354.77,527,30,0.056926,326.72
August,1,15:00,262,8,0.030534,332.27,591,8,0.013536,374.45,1086,53,0.048803,355.11,522,23,0.044061,330.2
August,1,15:30,262,10,0.038168,336.88,585,7,0.011966,373.57,1077,60,0.05571,356.53,519,21,0.040462,328.64
August,1,16:00,256,3,0.011719,340.1,582,7,0.012027,379.15,1059,32,0.030217,356.62,531,15,0.028249,328.99
August,1,16:30,239,0,0.0,341.67,562,7,0.012456,376.03,1013,20,0.019743,356.51,510,12,0.023529,327.39
August,1,17:00,211,0,0.0,338.9,535,7,0.013084,370.93,954,21,0.022013,356.76,472,9,0.019068,331.26
August,1,17:30,186,0,0.0,335.29,501,8,0.015968,372.72,876,21,0.023973,357.63,433,7,0.016166,324.71
August,1,18:00,164,1,0.006098,339.22,458,9,0.019651,375.94,774,17,0.021964,359.73,388,5,0.012887,321.99
August,1,18:30,138,2,0.014493,354.49,409,6,0.01467,369.19,697,14,0.020086,358.95,347,8,0.023055,324.2
August,1,19:00,96,1,0.010417,356.04,373,8,0.021448,365.02,619,16,0.025848,352.69,313,14,0.044728,325.35
August,1,19:30,70,0,0.0,342.94,329,6,0.018237,356.84,543,14,0.025783,353.79,279,14,0.050179,325.55
August,1,20:00,55,0,0.0,335.76,281,4,0.014235,361.25,464,17,0.036638,350.81,240,10,0.041667,319.83
August,1,20:30,44,0,0.0,326.93,248,3,0.012097,363.45,394,6,0.015228,345.69,210,12,0.057143,313.27
August,1,21:00,33,0,0.0,329.67,210,2,0.009524,354.25,332,1,0.003012,346.72,175,24,0.137143,321.47
August,1,21:30,25,0,0.0,319.29,172,2,0.011628,345.2,273,0,0.0,344.53,149,19,0.127517,328.07
August,1,22:00,21,2,0.095238,325.21,136,1,0.007353,341.11,222,0,0.0,342.38,121,6,0.049587,318.56
August,1,22:30,15,6,0.4,344.97,109,0,0.0,336.08,176,0,0.0,340.5,99,1,0.010101,304.53
August,1,23:00,12,5,0.416667,314.47,81,0,0.0,343.64,135,0,0.0,331.25,77,0,0.0,300.28
August,1,23:30,9,1,0.111111,252.17,66,0,0.0,337.51,108,0,0.0,316.3,62,0,0.0,301.52
August,2,0:00,6,0,0.0,357.06,41,0,0.0,316.69,67,0,0.0,321.67,39,0,0.0,322.72
August,2,0:30,5,0,0.0,364.33,28,0,0.0,341.35,52,0,0.0,323.6,28,0,0.0,329.02
August,2,1:00,3,0,0.0,359.58,13,0,0.0,349.67,40,0,0.0,331.7,22,0,0.0,322.9
August,2,1:30,2,0,0.0,345.9,7,0,0.0,306.76,32,0,0.0,324.91,16,0,0.0,316.87
August,2,2:00,1,0,0.0,227.48,5,0,0.0,284.38,21,0,0.0,318.06,11,0,0.0,311.54
August,2,2:30,1,0,0.0,203.87,4,0,0.0,270.71,15,0,0.0,327.14,7,0,0.0,350.53
August,2,3:00,1,0,0.0,249.92,3,0,0.0,263.81,12,0,0.0,310.73,2,0,0.0,425.57
August,2,3:30,1,0,0.0,191.75,3,0,0.0,176.1,12,0,0.0,300.37,1,0,0.0,338.01
August,2,4:00,1,0,0.0,166.37,3,0,0.0,165.16,12,0,0.0,334.21,0,0,0.0,296.12
August,2,4:30,1,0,0.0,195.14,3,0,0.0,288.28,12,0,0.0,332.09,0,0,0.0,310.82
August,2,5:00,1,0,0.0,223.86,3,0,0.0,277.05,12,0,0.0,332.26,0,0,0.0,417.39
August,2,5:30,1,0,0.0,186.0,3,0,0.0,288.8,14,0,0.0,309.63,2,0,0.0,560.21
August,2,6:00,2,0,0.0,234.1,4,0,0.0,348.21,22,0,0.0,292.48,8,0,0.0,355.13
August,2,6:30,3,0,0.0,272.54,7,1,0.142857,341.02,38,0,0.0,275.62,15,0,0.0,270.06
