Date,Call Volume,CCT,Service Level,Abandon Rate,client,day_of_week,month,day_of_month,week_of_year,quarter,is_weekend,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmean_30,Call Volume_rollstd_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,volume_x_abandon,trend,outlier_column
2024-01-02,7458.0,349.22,0.5213,0.1136,A,1,1,2,1,1,0,2147.0,,,,,,,,,,,,,,,0.0,0.0,3887.8554,847.2288000000001,1,Service Level
2024-01-02,14914.0,356.37,0.565,0.132,B,1,1,2,1,1,0,4406.0,,,,,,,,,,,,,,,0.0,0.0,8426.41,1968.6480000000001,1,Service Level
2024-01-04,12487.0,344.92,0.6122,0.0824,B,3,1,4,1,1,0,14132.0,14914.0,,,,,11150.666666666666,5854.124813610771,,,,,,,,0.0,0.0,7644.541399999999,1028.9288,3,Service Level
2024-02-18,4754.0,356.61,0.5757,0.0535,B,6,2,18,7,1,1,7426.0,10052.0,4490.0,4971.0,4402.0,5266.0,9177.333333333334,1516.699486824376,9025.142857142857,2287.0709381631464,9395.5,2431.1173357121206,9570.466666666667,2336.831729785722,264.0,0.058797327394209356,0.25341105114508716,2736.8777999999998,254.339,48,Service Level
2024-02-25,5040.0,359.63,0.5185,0.0795,B,6,2,25,8,1,1,6872.0,10516.0,4754.0,4490.0,4971.0,4402.0,9047.0,1921.850930743587,8864.42857142857,2200.876405521429,8944.785714285714,2157.9496029821894,9293.533333333333,2290.078040129867,286.0,0.06015986537652503,0.2482818139699603,2613.24,400.68,55,Service Level
2024-05-18,6753.0,340.84,0.5902,0.0709,B,5,5,18,20,2,1,11017.0,10566.0,8107.0,7672.0,7280.0,7367.0,10675.666666666666,301.8316307700843,9461.57142857143,2602.518322519093,9866.714285714286,2630.499584857228,9910.133333333333,2549.18396318526,-1354.0,-0.16701615887504626,0.2750619537321443,3985.6205999999997,478.78770000000003,138,Service Level
2024-05-21,10436.0,322.55,0.6169,0.0995,B,1,5,21,21,2,0,12003.0,4282.0,10891.0,11768.0,11881.0,10845.0,7679.333333333333,3942.972271438559,9422.285714285714,2806.537826473847,9666.714285714286,2746.7396457106493,9742.733333333334,2794.8350630913883,-455.0,-0.041777614544119,0.2978616772593385,6437.9684,1038.382,141,Service Level
2025-10-03,10095.0,363.46,0.4836,0.178,B,4,10,3,40,4,0,9800.0,9837.0,8576.0,8539.0,8534.0,10128.0,9415.0,699.1273131554678,8004.571428571428,2264.1990384491774,7943.571428571428,2057.388101987019,8189.1,2056.4331079775384,1519.0,0.17712220149253732,0.28286324366690896,4881.942,1796.9099999999999,641,Service Level
2025-12-13,8383.0,356.88,0.6172,0.0623,B,5,12,13,50,4,1,11325.0,11122.0,8452.0,8748.0,7364.0,6524.0,11310.0,180.966847792441,10407.142857142857,2493.2674965843157,10770.42857142857,2567.235709243146,9536.433333333332,2957.955126415049,-69.0,-0.008163748225272126,0.23957271758531518,5173.9875999999995,522.2609,712,Service Level
2024-01-02,30738.0,370.36,0.5464,0.1005,C,1,1,2,1,1,0,8059.0,,,,,,,,,,,,,,,0.0,0.0,16795.2432,3089.1690000000003,1,Service Level
2024-01-03,29358.0,369.6,0.5153,0.0738,C,2,1,3,1,1,0,30738.0,8059.0,,,,,,,,,,,,,,0.0,0.0,15128.177399999999,2166.6204000000002,2,Service Level
2024-03-05,26921.0,368.85,0.4338,0.087,C,1,3,5,10,1,0,29975.0,11310.0,23300.0,24935.0,24292.0,25766.0,19666.333333333332,9484.421982036305,22860.85714285714,6435.199101518959,22172.214285714286,5932.682596996346,21312.766666666666,5981.094471884657,3621.0,0.1554077253218884,0.2814942178810488,11678.329800000001,2342.127,64,Service Level
2024-05-13,26132.0,346.11,0.6108,0.0302,C,0,5,13,20,2,0,8162.0,16820.0,16820.0,26280.0,26933.0,26959.0,13934.0,4998.6986306437875,15583.142857142857,3272.416407313861,19529.14285714286,5616.1000683768125,19611.033333333333,5692.2131656314905,9312.0,0.5536266349583828,0.20999720257418297,15961.4256,789.1864,133,Service Level
2024-05-18,14761.0,347.18,0.5979,0.0296,C,5,5,18,20,2,1,23437.0,23768.0,16820.0,16820.0,14692.0,15136.0,24140.666666666668,946.7102689489681,21127.14285714286,6469.72576514572,18973.571428571428,4930.862675564469,20346.3,5424.022754186324,-2059.0,-0.12241379310344827,0.30622814494570316,8825.6019,436.92560000000003,138,Service Level
2024-07-14,9747.0,355.49,0.5642,0.031,C,6,7,14,28,3,1,14472.0,21909.0,10079.0,10436.0,10536.0,8648.0,19699.666666666668,4545.3266475945875,20788.14285714286,6216.338027825573,20312.285714285714,6842.359449427143,20481.366666666665,6149.548211514978,-332.0,-0.032939775771405895,0.29903287035039894,5499.2574,302.157,195,Service Level
2024-08-29,21343.0,346.42,0.5592,0.0559,C,3,8,29,35,3,0,22414.0,22131.0,22006.0,23218.0,21690.0,24376.0,22750.333333333332,839.6405977163457,19544.428571428572,5121.989354965584,19917.785714285714,5125.7651613209,20205.066666666666,5002.2668029420465,-663.0,-0.030128146869035716,0.26206902577102054,11935.0056,1193.0737,241,Service Level
