Date,Call Volume,CCT,Service Level,Abandon Rate,client,day_of_week,month,day_of_month,week_of_year,quarter,is_weekend,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmean_30,Call Volume_rollstd_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,volume_x_abandon,trend,outlier_column
2024-01-08,6688.0,343.75,0.8036,0.0173,A,0,1,8,2,1,0,1611.0,3529.0,2147.0,,,,3776.6666666666665,2299.5248059834735,4860.714285714285,2384.394382527473,,,,,4541.0,2.1150442477876106,0.4905440316735434,5374.4767999999995,115.7024,7,diff_lag7
2024-09-08,6173.0,329.62,0.8846,0.0103,A,6,9,8,36,3,1,6173.0,6173.0,1500.0,1514.0,1469.0,1439.0,6173.0,0.0,5243.0,1941.8708333288632,4648.571428571428,1690.7273225215467,4314.833333333333,1438.7650375698356,4673.0,3.1153333333333335,0.37037399071692984,5460.6358,63.5819,251,diff_lag7
2024-09-22,1615.0,294.99,0.954,0.0069,A,6,9,22,38,3,1,3243.0,4761.0,6173.0,6173.0,1500.0,1514.0,4307.333333333333,925.076393241842,5029.142857142857,993.7559104346532,5601.071428571428,898.9197332427323,5046.4,1411.4654551332287,-4558.0,-0.7383768022031427,0.19759945952285457,1540.71,11.1435,265,diff_lag7
2024-11-28,545.0,290.14,0.9653,0.0096,A,3,11,28,48,4,0,5067.0,5478.0,5322.0,5290.0,4920.0,4323.0,5610.0,619.6361835787123,4752.0,1491.6458471545207,4679.714285714285,1417.1764142163067,4518.333333333333,1328.2493101391194,-4777.0,-0.8975948891394213,0.3138985368591163,526.0885000000001,5.231999999999999,332,diff_lag7
2024-12-05,6112.0,311.71,0.9025,0.0143,A,3,12,5,49,4,0,6329.0,7285.0,545.0,5322.0,5290.0,4920.0,7305.333333333333,986.6571508549954,5212.0,2880.265612751713,4982.0,2216.4806476796634,4751.933333333333,1759.2860803870578,5567.0,5.0,0.5526219517942658,5516.08,87.4016,339,diff_lag7
2024-12-25,294.0,319.62,0.9061,0.0106,A,2,12,25,52,4,0,4112.0,6323.0,6209.0,6715.0,6329.0,5067.0,4242.333333333333,2018.6580526016153,5089.142857142857,1491.6010892741433,5333.0,1562.597590798484,5340.2,1862.4758346036913,-5915.0,-0.9526493799323562,0.29309475704353816,266.3934,3.1164,359,diff_lag7
2025-12-04,5121.0,330.38,0.943,0.0066,A,3,12,4,49,4,0,5343.0,5783.0,498.0,4444.0,4402.0,4029.0,6072.0,908.6489971380581,4298.285714285715,2404.5438038767147,4021.5714285714284,1827.9222216362596,3968.2,1449.5156242095466,4623.0,5.0,0.5594192577485044,4829.103,33.7986,703,diff_lag7
2025-12-25,290.0,254.13,0.9161,0.0138,A,3,12,25,52,4,0,3276.0,4997.0,5070.0,5517.0,5121.0,498.0,4539.666666666667,1108.192371988436,4246.571428571428,1237.7735195560945,4450.642857142857,1224.6299665388929,4425.766666666666,1518.618489315846,-4780.0,-0.9428007889546351,0.2914759684078807,265.669,4.002,724,diff_lag7
2024-01-08,13645.0,343.62,0.8764,0.0144,B,0,1,8,2,1,0,5082.0,8264.0,4406.0,,,,8785.333333333334,3989.6287212387747,10327.857142857143,4362.852905633019,,,,,9239.0,2.096913300045393,0.4224354428305019,11958.478,196.488,7,diff_lag7
2024-01-15,9352.0,333.13,0.9936,0.0032,B,0,1,15,3,1,0,4958.0,7206.0,13645.0,4406.0,,,7711.0,3037.153107763915,10201.57142857143,3011.3772517539123,10264.714285714286,3602.062324420691,,,-4293.0,-0.31462074019787467,0.2951875868182407,9292.147200000001,29.9264,14,diff_lag7
2024-05-27,6576.0,310.17,0.9359,0.0074,B,0,5,27,22,2,0,3996.0,7132.0,12003.0,11156.0,13002.0,11760.0,7017.333333333333,2965.663051213566,9126.57142857143,2683.8831232092775,9213.92857142857,2584.4107932663546,9488.7,2808.793840411044,-5427.0,-0.4521369657585604,0.29407353508538553,6154.4784,48.662400000000005,147,diff_lag7
2024-06-03,13735.0,331.78,0.9582,0.0068,B,0,6,3,23,2,0,5200.0,7528.0,6576.0,12003.0,11156.0,13002.0,7807.0,2757.107723684371,8885.42857142857,2441.6433576004188,9006.0,2468.145208295239,9175.1,2665.568728213095,7159.0,1.0886557177615572,0.27479185027176006,13160.877,93.398,154,diff_lag7
2024-07-04,4858.0,342.55,0.8295,0.0194,B,3,7,4,27,3,0,11564.0,11789.0,11070.0,11249.0,10119.0,10749.0,12297.333333333334,1081.1837648306207,9985.285714285714,3149.0017314637807,9922.714285714286,2872.4126934197075,9853.766666666666,2707.255101584899,-6212.0,-0.5611562782294489,0.3153642090539861,4029.7110000000002,94.2452,185,diff_lag7
2024-07-11,11376.0,335.15,0.8201,0.0224,B,3,7,11,28,3,0,11288.0,12003.0,4858.0,11070.0,11249.0,10119.0,12385.333333333334,1330.3632336070161,9423.857142857143,3731.724687441065,9704.57142857143,3329.992994085621,9731.966666666667,2911.081011243586,6518.0,1.3417044051049816,0.3959869754890696,9329.4576,254.8224,192,diff_lag7
2024-09-02,4494.0,318.5,0.8756,0.0037,B,0,9,2,36,3,0,4494.0,6918.0,10563.0,10811.0,11125.0,13735.0,7124.333333333333,2739.3342865253494,8654.42857142857,2208.409899840658,8736.357142857143,2165.464121761736,8904.933333333332,2387.3866383389827,-6069.0,-0.5745526838966203,0.2551768590628185,3934.9464000000003,16.6278,245,diff_lag7
