Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,outlier_column
April,1,22:30:00,0.6364,13.0,2.0,0.1538,192.36,A,Service Level
April,2,08:30:00,0.642,84.0,3.0,0.0357,249.33,A,Service Level
April,2,22:30:00,0.4375,16.0,0.0,0.0,258.94,A,Service Level
April,3,06:30:00,0.5,3.0,1.0,0.3333,323.5,A,Service Level
April,3,22:30:00,0.5,13.0,1.0,0.0769,320.42,A,Service Level
April,3,23:00:00,0.5,14.0,0.0,0.0,275.0,A,Service Level
April,4,04:00:00,0.5,2.0,0.0,0.0,276.5,A,Service Level
April,4,04:30:00,0.25,4.0,0.0,0.0,359.75,A,Service Level
April,4,06:30:00,0.25,7.0,3.0,0.4286,333.75,A,Service Level
April,4,22:30:00,0.5833,12.0,0.0,0.0,187.5,A,Service Level
April,4,23:00:00,0.6667,10.0,1.0,0.1,209.56,A,Service Level
April,5,01:30:00,0.5,3.0,1.0,0.3333,676.5,A,Service Level
April,5,02:00:00,0.5,1.0,1.0,1.0,676.5,A,Service Level
April,5,22:30:00,0.375,9.0,1.0,0.1111,284.38,A,Service Level
April,5,23:00:00,0.3,13.0,3.0,0.2308,355.9,A,Service Level
April,6,00:00:00,0.5,2.0,0.0,0.0,762.0,A,Service Level
April,6,00:30:00,0.0,3.0,2.0,0.6667,366.0,A,Service Level
April,6,22:30:00,0.6,12.0,2.0,0.1667,324.2,A,Service Level
April,7,22:30:00,0.4,10.0,0.0,0.0,283.1,A,Service Level
April,8,06:30:00,0.1429,8.0,1.0,0.125,206.29,A,Service Level
April,8,07:00:00,0.4,5.0,0.0,0.0,268.4,A,Service Level
April,8,22:30:00,0.5556,22.0,4.0,0.1818,273.33,A,Service Level
April,8,23:00:00,0.2667,15.0,0.0,0.0,427.93,A,Service Level
April,9,12:00:00,0.6769,232.0,3.0,0.0129,315.1,A,Service Level
April,9,22:30:00,0.5,12.0,0.0,0.0051,295.94,A,Service Level
April,10,06:30:00,0.5,2.0,0.0,0.0,271.0,A,Service Level
April,10,07:00:00,0.5714,8.0,1.0,0.125,321.57,A,Service Level
April,10,07:30:00,0.1538,15.0,2.0,0.1333,245.62,A,Service Level
April,10,15:30:00,0.6211,209.0,19.0,0.0909,329.06,A,Service Level
April,10,23:30:00,0.5455,12.0,1.0,0.0833,364.0,A,Service Level
April,11,01:30:00,0.25,4.0,0.0,0.0,207.75,A,Service Level
