Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,outlier_column
April,10,15:30:00,0.6211,209.0,19.0,0.0909,329.06,A,Abandoned Calls
April,10,16:00:00,0.7277,245.0,10.0,0.0408,329.43,A,Abandoned Calls
April,11,12:00:00,0.8043,287.0,11.0,0.0383,287.01,A,Abandoned Calls
April,11,22:30:00,0.75,13.0,9.0,0.6923,660.5,A,Abandoned Calls
April,12,13:00:00,0.8028,75.0,13.0,0.0695,309.17,A,Abandoned Calls
April,12,17:00:00,0.8028,75.0,10.0,0.0758,312.93,A,Abandoned Calls
April,21,13:30:00,0.6753,242.0,11.0,0.0455,355.56,A,Abandoned Calls
April,21,14:30:00,0.3406,263.0,34.0,0.1293,326.86,A,Abandoned Calls
April,23,13:30:00,0.668,264.0,14.0,0.053,319.92,A,Abandoned Calls
April,24,16:00:00,0.7225,200.0,9.0,0.045,316.52,A,Abandoned Calls
April,24,16:30:00,0.6857,219.0,9.0,0.0411,350.61,A,Abandoned Calls
April,25,12:30:00,0.7511,242.0,9.0,0.0372,326.92,A,Abandoned Calls
April,25,17:30:00,0.7485,176.0,9.0,0.0511,303.96,A,Abandoned Calls
April,27,15:30:00,0.5402,96.0,9.0,0.0938,338.22,A,Abandoned Calls
April,29,16:00:00,0.5378,262.0,11.0,0.042,358.62,A,Abandoned Calls
April,30,08:30:00,0.2111,100.0,10.0,0.1,267.2,A,Abandoned Calls
April,30,09:30:00,0.6486,158.0,10.0,0.0633,354.67,A,Abandoned Calls
May,4,14:30:00,0.5795,97.0,9.0,0.0928,295.75,A,Abandoned Calls
May,15,15:30:00,0.5973,232.0,11.0,0.0474,333.84,A,Abandoned Calls
May,23,15:00:00,0.815,211.0,11.0,0.0521,294.63,A,Abandoned Calls
May,23,15:30:00,0.3886,212.0,19.0,0.0896,305.73,A,Abandoned Calls
May,28,17:00:00,0.5427,195.0,31.0,0.159,353.23,A,Abandoned Calls
May,28,17:30:00,0.3976,184.0,18.0,0.0978,307.48,A,Abandoned Calls
May,29,22:30:00,0.4444,18.0,9.0,0.5,381.56,A,Abandoned Calls
May,31,20:30:00,0.6364,32.0,10.0,0.3125,277.27,A,Abandoned Calls
June,7,12:00:00,0.5615,150.0,20.0,0.1333,323.22,A,Abandoned Calls
June,11,13:00:00,0.7763,237.0,9.0,0.038,306.03,A,Abandoned Calls
June,14,12:30:00,0.4527,164.0,16.0,0.0976,297.0,A,Abandoned Calls
June,14,14:30:00,0.8271,143.0,10.0,0.0699,299.44,A,Abandoned Calls
June,20,07:00:00,0.0,12.0,10.0,0.8333,328.5,A,Abandoned Calls
June,20,07:30:00,0.3333,21.0,18.0,0.8571,261.67,A,Abandoned Calls
June,21,12:30:00,0.6871,174.0,11.0,0.0632,323.06,A,Abandoned Calls
June,28,17:30:00,0.68,111.0,11.0,0.0991,406.8,A,Abandoned Calls
June,30,14:00:00,0.66,261.0,11.0,0.0421,307.77,A,Abandoned Calls
June,30,14:30:00,0.4647,286.0,17.0,0.0594,339.12,A,Abandoned Calls
June,30,15:00:00,0.6523,274.0,18.0,0.0657,339.68,A,Abandoned Calls
April,1,14:30:00,0.6572,508.0,15.0,0.0295,343.38,B,Abandoned Calls
April,2,12:30:00,0.7108,417.0,9.0,0.0216,328.86,B,Abandoned Calls
April,2,13:30:00,0.7588,409.0,11.0,0.0269,337.02,B,Abandoned Calls
April,3,10:30:00,0.8159,327.0,12.0,0.0367,322.01,B,Abandoned Calls
April,3,11:30:00,0.6237,395.0,15.0,0.038,338.28,B,Abandoned Calls
April,3,13:30:00,0.8311,447.0,9.0,0.0201,335.29,B,Abandoned Calls
