Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,outlier_column
April,1,06:30:00,1.0,4.0,0.0,0.5,166.0,A,Abandoned Rate
April,1,07:00:00,1.0,4.0,0.0,0.1429,386.83,A,Abandoned Rate
April,1,20:30:00,0.7541,66.0,5.0,0.0758,350.28,A,Abandoned Rate
April,1,21:00:00,0.6957,48.0,2.0,0.0417,387.59,A,Abandoned Rate
April,1,22:30:00,0.6364,13.0,2.0,0.1538,192.36,A,Abandoned Rate
April,1,23:00:00,0.8462,14.0,1.0,0.0714,334.46,A,Abandoned Rate
April,2,08:30:00,0.642,84.0,3.0,0.0357,249.33,A,Abandoned Rate
April,3,06:30:00,0.5,3.0,1.0,0.3333,323.5,A,Abandoned Rate
April,3,07:00:00,0.8182,13.0,2.0,0.1538,327.18,A,Abandoned Rate
April,3,20:30:00,0.8889,47.0,2.0,0.0426,342.8,A,Abandoned Rate
April,3,21:00:00,0.9394,36.0,3.0,0.0833,270.27,A,Abandoned Rate
April,3,22:00:00,0.9231,27.0,1.0,0.037,350.27,A,Abandoned Rate
April,3,22:30:00,0.5,13.0,1.0,0.0769,320.42,A,Abandoned Rate
April,4,06:30:00,0.25,7.0,3.0,0.4286,333.75,A,Abandoned Rate
April,4,23:00:00,0.6667,10.0,1.0,0.1,209.56,A,Abandoned Rate
April,4,23:30:00,0.8571,8.0,1.0,0.125,336.29,A,Abandoned Rate
April,5,00:00:00,0.75,5.0,1.0,0.2,430.5,A,Abandoned Rate
April,5,01:30:00,0.5,3.0,1.0,0.3333,676.5,A,Abandoned Rate
April,5,02:00:00,0.5,1.0,1.0,1.0,676.5,A,Abandoned Rate
April,5,07:30:00,0.8333,7.0,1.0,0.1429,202.33,A,Abandoned Rate
April,5,21:00:00,1.0,20.0,2.0,0.1,223.17,A,Abandoned Rate
April,5,22:30:00,0.375,9.0,1.0,0.1111,284.38,A,Abandoned Rate
April,5,23:00:00,0.3,13.0,3.0,0.2308,355.9,A,Abandoned Rate
April,6,00:30:00,0.0,3.0,2.0,0.6667,366.0,A,Abandoned Rate
April,6,13:00:00,0.7625,86.0,6.0,0.0698,278.14,A,Abandoned Rate
April,6,22:30:00,0.6,12.0,2.0,0.1667,324.2,A,Abandoned Rate
April,7,07:00:00,0.8571,8.0,1.0,0.125,185.29,A,Abandoned Rate
April,7,20:30:00,0.9714,37.0,2.0,0.0541,384.31,A,Abandoned Rate
April,7,21:00:00,0.973,39.0,2.0,0.0513,260.86,A,Abandoned Rate
April,8,06:30:00,0.1429,8.0,1.0,0.125,206.29,A,Abandoned Rate
April,8,22:30:00,0.5556,22.0,4.0,0.1818,273.33,A,Abandoned Rate
April,10,06:00:00,1.0,4.0,2.0,0.5,307.0,A,Abandoned Rate
April,10,07:00:00,0.5714,8.0,1.0,0.125,321.57,A,Abandoned Rate
April,10,07:30:00,0.1538,15.0,2.0,0.1333,245.62,A,Abandoned Rate
April,10,15:30:00,0.6211,209.0,19.0,0.0909,329.06,A,Abandoned Rate
April,10,16:00:00,0.7277,245.0,10.0,0.0408,329.43,A,Abandoned Rate
April,10,23:30:00,0.5455,12.0,1.0,0.0833,364.0,A,Abandoned Rate
April,11,03:00:00,1.0,6.0,1.0,0.1667,159.6,A,Abandoned Rate
April,11,06:30:00,0.25,6.0,2.0,0.3333,340.5,A,Abandoned Rate
April,11,07:00:00,0.6667,7.0,1.0,0.1429,454.0,A,Abandoned Rate
April,11,07:30:00,0.1538,15.0,2.0,0.1333,243.85,A,Abandoned Rate
April,11,12:00:00,0.8043,287.0,11.0,0.0383,287.01,A,Abandoned Rate
April,11,22:30:00,0.75,13.0,9.0,0.6923,660.5,A,Abandoned Rate
April,11,23:00:00,0.4444,10.0,1.0,0.1,373.44,A,Abandoned Rate
April,12,06:30:00,1.0,1.0,1.0,1.0,158.67,A,Abandoned Rate
April,12,09:30:00,0.8028,75.0,4.0,0.0533,291.52,A,Abandoned Rate
April,12,10:00:00,0.8028,75.0,6.0,0.0504,315.68,A,Abandoned Rate
April,12,13:00:00,0.8028,75.0,13.0,0.0695,309.17,A,Abandoned Rate
April,12,17:00:00,0.8028,75.0,10.0,0.0758,312.93,A,Abandoned Rate
April,12,21:00:00,0.8667,18.0,3.0,0.1667,303.4,A,Abandoned Rate
April,12,22:30:00,0.3333,8.0,2.0,0.25,250.33,A,Abandoned Rate
April,12,23:00:00,0.5714,9.0,2.0,0.2222,215.0,A,Abandoned Rate
April,13,14:30:00,0.8378,78.0,4.0,0.0513,350.73,A,Abandoned Rate
April,13,15:00:00,0.6207,91.0,4.0,0.044,332.31,A,Abandoned Rate
April,13,17:00:00,0.9808,54.0,2.0,0.037,225.77,A,Abandoned Rate
April,14,06:30:00,1.0,3.0,1.0,0.3333,298.5,A,Abandoned Rate
April,14,07:30:00,1.0,13.0,1.0,0.0769,221.75,A,Abandoned Rate
April,14,21:00:00,0.6923,41.0,2.0,0.0488,301.38,A,Abandoned Rate
April,14,22:30:00,0.2857,10.0,3.0,0.3,440.29,A,Abandoned Rate
April,15,07:30:00,0.7,13.0,3.0,0.2308,414.9,A,Abandoned Rate
April,15,19:00:00,0.7059,92.0,7.0,0.0761,355.04,A,Abandoned Rate
April,15,20:00:00,0.8049,45.0,4.0,0.0889,424.95,A,Abandoned Rate
April,16,04:00:00,1.0,1.0,1.0,1.0,318.25,A,Abandoned Rate
April,16,06:30:00,0.6667,4.0,1.0,0.25,265.67,A,Abandoned Rate
April,16,07:30:00,0.4706,18.0,1.0,0.0556,323.82,A,Abandoned Rate
April,16,08:30:00,0.7541,64.0,3.0,0.0469,353.52,A,Abandoned Rate
April,16,09:00:00,0.7705,127.0,5.0,0.0394,308.7,A,Abandoned Rate
April,17,07:30:00,0.9091,12.0,1.0,0.0833,364.64,A,Abandoned Rate
April,17,08:00:00,0.8727,58.0,3.0,0.0517,248.44,A,Abandoned Rate
April,17,08:30:00,0.5429,78.0,8.0,0.1026,336.29,A,Abandoned Rate
April,17,21:00:00,1.0,25.0,1.0,0.04,303.5,A,Abandoned Rate
April,17,23:30:00,0.625,9.0,1.0,0.1111,502.5,A,Abandoned Rate
