Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,outlier_column
April,1,02:00:00,1.0,1.0,0.0,0.0,667.0,A,CCT
April,1,05:00:00,1.0,4.0,0.0,0.0,59.0,A,CCT
April,2,06:00:00,1.0,1.0,0.0,0.0,1085.0,A,CCT
April,3,01:00:00,1.0,1.0,0.0,0.0,89.0,A,CCT
April,3,02:00:00,1.0,1.0,0.0,0.0,113.0,A,CCT
April,3,04:30:00,1.0,1.0,0.0,0.0,76.0,A,CCT
April,4,05:30:00,1.0,2.0,0.0,0.0,113.5,A,CCT
April,5,01:00:00,1.0,3.0,0.0,0.0,716.67,A,CCT
April,5,01:30:00,0.5,3.0,1.0,0.3333,676.5,A,CCT
April,5,02:00:00,0.5,1.0,1.0,1.0,676.5,A,CCT
April,5,02:30:00,1.0,1.0,0.0,0.0,1681.0,A,CCT
April,5,03:30:00,1.0,1.0,0.0,0.0,1013.0,A,CCT
April,5,05:30:00,1.0,2.0,0.0,0.0,113.0,A,CCT
April,6,00:00:00,0.5,2.0,0.0,0.0,762.0,A,CCT
April,6,02:00:00,1.0,1.0,0.0,0.0,21.0,A,CCT
April,6,02:30:00,1.0,0.0,0.0,0.0,21.0,A,CCT
April,6,06:30:00,1.0,1.0,0.0,0.0,106.0,A,CCT
April,7,06:30:00,1.0,1.0,0.0,0.0,53.0,A,CCT
April,7,07:30:00,1.0,6.0,0.0,0.0,540.83,A,CCT
April,7,21:30:00,1.0,20.0,0.0,0.0,548.85,A,CCT
April,7,23:30:00,1.0,6.0,0.0,0.0,613.17,A,CCT
April,8,02:30:00,1.0,1.0,0.0,0.0,2.0,A,CCT
April,9,05:00:00,1.0,1.0,0.0,0.0,549.0,A,CCT
April,9,06:30:00,1.0,1.0,0.0,0.0,117.0,A,CCT
April,11,00:00:00,1.0,3.0,0.0,0.0,566.67,A,CCT
April,11,03:30:00,1.0,5.0,0.0,0.0,52.2,A,CCT
April,11,04:00:00,1.0,3.0,0.0,0.0,40.33,A,CCT
April,11,22:30:00,0.75,13.0,9.0,0.6923,660.5,A,CCT
April,12,03:30:00,1.0,3.0,0.0,0.0,37.67,A,CCT
April,13,01:00:00,1.0,1.0,0.0,0.0,0.0,A,CCT
April,13,06:00:00,0.6667,3.0,0.0,0.0,47.67,A,CCT
April,13,06:30:00,1.0,1.0,0.0,0.0,52.0,A,CCT
April,14,00:00:00,1.0,2.0,0.0,0.0,593.0,A,CCT
April,14,02:00:00,1.0,2.0,0.0,0.0,1376.0,A,CCT
April,16,00:00:00,1.0,4.0,0.0,0.0,39.5,A,CCT
April,16,05:00:00,1.0,1.0,0.0,0.0,45.0,A,CCT
April,18,00:30:00,1.0,5.0,0.0,0.0,562.4,A,CCT
April,19,00:30:00,0.8,5.0,0.0,0.0,723.6,A,CCT
April,19,01:30:00,1.0,2.0,1.0,0.5,93.0,A,CCT
April,19,02:00:00,0.0,1.0,0.0,0.0,1920.0,A,CCT
April,19,02:30:00,1.0,3.0,0.0,0.0,113.33,A,CCT
April,19,06:00:00,1.0,1.0,0.0,0.0,546.0,A,CCT
April,19,06:30:00,1.0,0.0,0.0,0.0,546.0,A,CCT
April,19,22:30:00,1.0,8.0,0.0,0.0,510.38,A,CCT
April,19,23:30:00,1.0,2.0,0.0,0.0,71.0,A,CCT
April,20,00:00:00,1.0,2.0,0.0,0.0,1583.0,A,CCT
April,20,01:30:00,1.0,2.0,0.0,0.0,862.0,A,CCT
April,21,02:30:00,1.0,2.0,0.0,0.0,88.5,A,CCT
April,21,03:00:00,1.0,0.0,0.0,0.0,88.5,A,CCT
April,22,00:00:00,1.0,1.0,0.0,0.0,2772.0,A,CCT
April,22,06:30:00,0.3333,4.0,1.0,0.25,794.33,A,CCT
April,23,03:00:00,1.0,1.0,0.0,0.0,712.0,A,CCT
April,23,05:00:00,1.0,3.0,0.0,0.0,514.67,A,CCT
April,23,05:30:00,1.0,1.0,0.0,0.0,79.0,A,CCT
April,23,22:00:00,1.0,3.0,0.0,0.0,615.67,A,CCT
April,24,00:00:00,1.0,1.0,0.0,0.0,83.0,A,CCT
April,24,03:30:00,1.0,3.0,0.0,0.0,73.33,A,CCT
April,25,00:30:00,1.0,3.0,0.0,0.0,767.67,A,CCT
April,25,01:00:00,1.0,1.0,0.0,0.0,69.0,A,CCT
April,25,04:30:00,1.0,1.0,0.0,0.0,1134.0,A,CCT
April,26,02:00:00,1.0,1.0,0.0,0.0,55.0,A,CCT
April,26,02:30:00,1.0,3.0,0.0,0.0,531.33,A,CCT
April,27,00:30:00,0.6667,3.0,0.0,0.0,574.67,A,CCT
April,27,06:00:00,1.0,3.0,0.0,0.0,116.0,A,CCT
April,27,07:30:00,1.0,6.0,0.0,0.0,615.83,A,CCT
April,28,01:00:00,1.0,6.0,0.0,0.0,578.17,A,CCT
April,28,01:30:00,1.0,1.0,0.0,0.0,546.0,A,CCT
April,28,02:00:00,1.0,1.0,0.0,0.0,96.0,A,CCT
April,28,03:30:00,1.0,1.0,0.0,0.0,22.0,A,CCT
April,28,04:30:00,1.0,3.0,0.0,0.0,118.67,A,CCT
April,29,01:30:00,1.0,2.0,0.0,0.0,531.0,A,CCT
April,29,02:30:00,1.0,1.0,0.0,0.0,76.0,A,CCT
April,29,05:30:00,1.0,2.0,0.0,0.0,109.5,A,CCT
April,30,01:00:00,1.0,1.0,0.0,0.0,572.0,A,CCT
April,30,01:30:00,1.0,0.0,0.0,0.0,572.0,A,CCT
May,1,00:30:00,1.0,2.0,0.0,0.0,95.5,A,CCT
May,1,02:30:00,1.0,1.0,0.0,0.0,90.0,A,CCT
May,1,03:00:00,1.0,2.0,0.0,0.0,93.0,A,CCT
May,1,06:30:00,0.0,7.0,4.0,0.5714,518.67,A,CCT
May,2,02:30:00,1.0,2.0,0.0,0.0,831.5,A,CCT
May,2,04:30:00,1.0,1.0,0.0,0.0,99.0,A,CCT
May,3,00:00:00,0.6667,6.0,0.0,0.0,586.83,A,CCT
May,3,01:00:00,1.0,5.0,0.0,0.0,821.2,A,CCT
May,3,05:00:00,1.0,1.0,0.0,0.0,664.0,A,CCT
May,3,05:30:00,1.0,0.0,0.0,0.0,664.0,A,CCT
May,4,00:30:00,1.0,3.0,0.0,0.0,595.0,A,CCT
May,4,01:00:00,1.0,1.0,0.0,0.0,567.0,A,CCT
May,4,04:00:00,1.0,1.0,0.0,0.0,22.0,A,CCT
May,4,05:30:00,1.0,1.0,0.0,0.0,8.0,A,CCT
May,5,01:00:00,1.0,2.0,0.0,0.0,628.5,A,CCT
May,5,03:00:00,1.0,1.0,0.0,0.0,858.0,A,CCT
May,6,01:00:00,1.0,1.0,0.0,0.0,81.0,A,CCT
May,6,01:30:00,1.0,3.0,0.0,0.0,92.0,A,CCT
May,6,02:00:00,1.0,2.0,0.0,0.0,700.5,A,CCT
May,6,05:30:00,1.0,2.0,0.0,0.0,521.5,A,CCT
May,6,06:30:00,0.0,3.0,0.0,0.0,612.33,A,CCT
May,7,00:30:00,1.0,1.0,0.0,0.0,619.0,A,CCT
May,7,02:00:00,1.0,1.0,0.0,0.0,116.0,A,CCT
May,7,05:00:00,1.0,1.0,0.0,0.0,61.0,A,CCT
May,7,06:00:00,1.0,1.0,0.0,0.0,82.0,A,CCT
May,8,03:00:00,1.0,2.0,0.0,0.0,791.5,A,CCT
May,8,04:00:00,1.0,1.0,0.0,0.0,38.0,A,CCT
May,8,05:00:00,1.0,2.0,0.0,0.0,81.5,A,CCT
May,9,03:30:00,1.0,1.0,0.0,0.0,117.0,A,CCT
May,9,04:30:00,1.0,1.0,0.0,0.0,20.0,A,CCT
May,10,00:30:00,1.0,2.0,0.0,0.0,611.5,A,CCT
May,10,04:30:00,1.0,1.0,0.0,0.0,72.0,A,CCT
May,11,00:30:00,1.0,1.0,0.0,0.0,55.0,A,CCT
May,12,00:00:00,1.0,5.0,0.0,0.0,1150.0,A,CCT
May,12,01:00:00,1.0,2.0,0.0,0.0,94.0,A,CCT
May,12,04:00:00,1.0,1.0,0.0,0.0,24.0,A,CCT
May,13,00:30:00,1.0,4.0,0.0,0.0,572.25,A,CCT
May,13,01:30:00,1.0,2.0,0.0,0.0,561.0,A,CCT
May,13,03:00:00,1.0,2.0,0.0,0.0,598.5,A,CCT
May,13,04:00:00,1.0,0.0,0.0,0.0,598.5,A,CCT
May,15,02:00:00,1.0,1.0,0.0,0.0,518.0,A,CCT
May,16,00:30:00,1.0,3.0,0.0,0.0,67.0,A,CCT
May,16,02:30:00,1.0,1.0,0.0,0.0,109.0,A,CCT
May,16,03:00:00,1.0,1.0,0.0,0.0,58.0,A,CCT
May,16,03:30:00,1.0,1.0,0.0,0.0,108.0,A,CCT
May,16,22:30:00,0.8889,11.0,2.0,0.1818,577.11,A,CCT
May,17,01:30:00,0.0,1.0,0.0,0.0,686.0,A,CCT
May,17,02:30:00,1.0,1.0,0.0,0.0,92.0,A,CCT
May,18,00:30:00,0.6,5.0,0.0,0.0,642.4,A,CCT
May,18,03:00:00,1.0,1.0,0.0,0.0,48.0,A,CCT
May,18,04:30:00,1.0,1.0,0.0,0.0,105.0,A,CCT
May,18,06:30:00,1.0,1.0,0.0,0.0,703.0,A,CCT
May,19,00:00:00,1.0,9.0,0.0,0.0,614.67,A,CCT
May,19,05:30:00,1.0,1.0,0.0,0.0,521.0,A,CCT
May,20,00:00:00,1.0,4.0,0.0,0.0,635.0,A,CCT
May,20,05:30:00,1.0,1.0,0.0,0.0,61.0,A,CCT
May,21,06:00:00,1.0,1.0,0.0,0.0,69.0,A,CCT
May,21,22:30:00,0.8333,6.0,0.0,0.0,521.0,A,CCT
May,22,03:30:00,1.0,1.0,0.0,0.0,2347.0,A,CCT
May,22,04:30:00,1.0,1.0,1.0,1.0,2347.0,A,CCT
May,23,01:00:00,1.0,2.0,0.0,0.0,585.5,A,CCT
May,23,01:30:00,1.0,3.0,0.0,0.0,621.67,A,CCT
May,23,02:00:00,1.0,2.0,0.0,0.0,118.0,A,CCT
May,23,03:30:00,1.0,1.0,0.0,0.0,25.0,A,CCT
May,23,04:00:00,1.0,1.0,0.0,0.0,817.0,A,CCT
May,23,05:00:00,1.0,1.0,0.0,0.0,93.0,A,CCT
May,23,05:30:00,1.0,1.0,1.0,1.0,93.0,A,CCT
May,23,07:30:00,0.2727,12.0,1.0,0.0833,557.45,A,CCT
